split_idx,n_splits,n_test,accuracy,f1_macro,mean_regret,zero_regret_rate,within_1pp_rate,within_5pp_rate,target_scenario,feature_set,variant,shuffle_id
1,5,24,0.7083333333333334,0.4677544677544678,0.006842583200022394,0.75,0.8333333333333334,0.9583333333333334,simple3_available,stats_only,real,
2,5,23,0.6956521739130435,0.4000000000000001,0.02487082472085394,0.6956521739130435,0.8260869565217391,0.9130434782608695,simple3_available,stats_only,real,
3,5,23,0.6956521739130435,0.4000000000000001,0.010707561698081635,0.7391304347826086,0.8260869565217391,0.9130434782608695,simple3_available,stats_only,real,
4,5,23,0.6521739130434783,0.45,0.03566798130649356,0.6521739130434783,0.8260869565217391,0.8260869565217391,simple3_available,stats_only,real,
5,5,23,0.6086956521739131,0.3636363636363636,0.01679163067079662,0.6521739130434783,0.782608695652174,0.8260869565217391,simple3_available,stats_only,real,
6,5,24,0.6666666666666666,0.3925925925925926,0.015338029340144882,0.7083333333333334,0.8333333333333334,0.875,simple3_available,stats_only,real,
7,5,23,0.6956521739130435,0.4000000000000001,0.012481922405265269,0.6956521739130435,0.782608695652174,0.9130434782608695,simple3_available,stats_only,real,
8,5,23,0.782608695652174,0.5050505050505051,0.005605460089449703,0.782608695652174,0.9130434782608695,0.9565217391304348,simple3_available,stats_only,real,
9,5,23,0.6956521739130435,0.4444444444444444,0.011187171290878501,0.6956521739130435,0.8260869565217391,0.8695652173913043,simple3_available,stats_only,real,
10,5,23,0.6521739130434783,0.3544973544973545,0.03711837961555549,0.6956521739130435,0.8260869565217391,0.9130434782608695,simple3_available,stats_only,real,
11,5,24,0.75,0.4777777777777778,0.009207894537952852,0.75,0.875,0.9166666666666666,simple3_available,stats_only,real,
12,5,23,0.6956521739130435,0.4000000000000001,0.035549186610930684,0.7391304347826086,0.9130434782608695,0.9130434782608695,simple3_available,stats_only,real,
13,5,23,0.7391304347826086,0.4563279857397504,0.010945567420659991,0.782608695652174,0.8695652173913043,0.8695652173913043,simple3_available,stats_only,real,
14,5,23,0.6521739130434783,0.34259259259259256,0.00737871305461419,0.6956521739130435,0.782608695652174,0.9565217391304348,simple3_available,stats_only,real,
15,5,23,0.7391304347826086,0.4444444444444445,0.017529440977182006,0.7391304347826086,0.8260869565217391,0.9130434782608695,simple3_available,stats_only,real,
16,5,24,0.7083333333333334,0.4677544677544678,0.01013611431778473,0.7083333333333334,0.8333333333333334,0.9166666666666666,simple3_available,stats_only,real,
17,5,23,0.6956521739130435,0.4000000000000001,0.02345271696728532,0.782608695652174,0.8260869565217391,0.9130434782608695,simple3_available,stats_only,real,
18,5,23,0.5652173913043478,0.34027777777777773,0.032409857812680354,0.6086956521739131,0.7391304347826086,0.8260869565217391,simple3_available,stats_only,real,
19,5,23,0.5652173913043478,0.3186274509803922,0.012457391587275091,0.5652173913043478,0.8260869565217391,0.8695652173913043,simple3_available,stats_only,real,
20,5,23,0.6521739130434783,0.4166666666666667,0.02258713602095973,0.6521739130434783,0.782608695652174,0.8260869565217391,simple3_available,stats_only,real,
21,5,24,0.6666666666666666,0.3925925925925926,0.02000493587634722,0.7083333333333334,0.9166666666666666,0.9583333333333334,simple3_available,stats_only,real,
22,5,23,0.6521739130434783,0.3333333333333333,0.028173545934619074,0.6956521739130435,0.782608695652174,0.8695652173913043,simple3_available,stats_only,real,
23,5,23,0.6086956521739131,0.39040529363110005,0.02448200338550616,0.6086956521739131,0.6521739130434783,0.8260869565217391,simple3_available,stats_only,real,
24,5,23,0.6086956521739131,0.3636363636363636,0.011799898641824963,0.6956521739130435,0.782608695652174,0.8695652173913043,simple3_available,stats_only,real,
25,5,23,0.782608695652174,0.5079365079365079,0.003776093678629739,0.782608695652174,0.9565217391304348,0.9565217391304348,simple3_available,stats_only,real,
26,5,24,0.5833333333333334,0.3074074074074074,0.014231902312651838,0.625,0.8333333333333334,0.875,simple3_available,stats_only,real,
27,5,23,0.6521739130434783,0.4038461538461539,0.021933486814018535,0.6956521739130435,0.6956521739130435,0.8260869565217391,simple3_available,stats_only,real,
28,5,23,0.7391304347826086,0.47450980392156855,0.01695930055645653,0.7391304347826086,0.8260869565217391,0.8695652173913043,simple3_available,stats_only,real,
29,5,23,0.6956521739130435,0.4148148148148148,0.039198553481909516,0.7391304347826086,0.8260869565217391,0.8695652173913043,simple3_available,stats_only,real,
30,5,23,0.6086956521739131,0.3216931216931217,0.010817514090217433,0.6086956521739131,0.8260869565217391,0.9130434782608695,simple3_available,stats_only,real,
31,5,24,0.75,0.49673202614379086,0.01701511302208215,0.75,0.875,0.9583333333333334,simple3_available,stats_only,real,
32,5,23,0.5652173913043478,0.24074074074074073,0.03513518063354287,0.6086956521739131,0.7391304347826086,0.782608695652174,simple3_available,stats_only,real,
33,5,23,0.782608695652174,0.5050505050505051,0.00699201428222805,0.782608695652174,0.8695652173913043,0.9130434782608695,simple3_available,stats_only,real,
34,5,23,0.7391304347826086,0.6375000000000001,0.017527758274605423,0.7391304347826086,0.8695652173913043,0.8695652173913043,simple3_available,stats_only,real,
35,5,23,0.5652173913043478,0.24074074074074073,0.015014961770178692,0.6521739130434783,0.7391304347826086,0.9130434782608695,simple3_available,stats_only,real,
36,5,24,0.7083333333333334,0.49615975422427033,0.006355960445293251,0.75,0.9166666666666666,0.9166666666666666,simple3_available,stats_only,real,
37,5,23,0.6521739130434783,0.3333333333333333,0.044220717188248104,0.6521739130434783,0.7391304347826086,0.8695652173913043,simple3_available,stats_only,real,
38,5,23,0.6521739130434783,0.3333333333333333,0.021529999621692993,0.6956521739130435,0.782608695652174,0.8260869565217391,simple3_available,stats_only,real,
39,5,23,0.7391304347826086,0.4444444444444445,0.009171547662124066,0.7391304347826086,0.8695652173913043,0.9130434782608695,simple3_available,stats_only,real,
40,5,23,0.6956521739130435,0.4444444444444444,0.00688808257884052,0.7391304347826086,0.8260869565217391,0.9565217391304348,simple3_available,stats_only,real,
41,5,24,0.7083333333333334,0.41841841841841837,0.030398943215420877,0.7083333333333334,0.7916666666666666,0.8333333333333334,simple3_available,stats_only,real,
42,5,23,0.7391304347826086,0.4563279857397504,0.01596935388132175,0.782608695652174,0.8260869565217391,0.8695652173913043,simple3_available,stats_only,real,
43,5,23,0.6521739130434783,0.4166666666666667,0.012758546382174118,0.6521739130434783,0.8695652173913043,0.8695652173913043,simple3_available,stats_only,real,
44,5,23,0.7391304347826086,0.4444444444444445,0.021262505404041426,0.782608695652174,0.8695652173913043,0.9565217391304348,simple3_available,stats_only,real,
45,5,23,0.5652173913043478,0.3625,0.01020086018914424,0.6086956521739131,0.7391304347826086,0.9130434782608695,simple3_available,stats_only,real,
46,5,24,0.75,0.4777777777777778,0.006927252800109594,0.7916666666666666,0.9166666666666666,0.9583333333333334,simple3_available,stats_only,real,
47,5,23,0.5652173913043478,0.3317307692307692,0.02204212265629717,0.6086956521739131,0.6521739130434783,0.782608695652174,simple3_available,stats_only,real,
48,5,23,0.6956521739130435,0.35360360360360366,0.03224397157998018,0.6956521739130435,0.782608695652174,0.8260869565217391,simple3_available,stats_only,real,
49,5,23,0.6521739130434783,0.4349206349206349,0.03523766520527573,0.6521739130434783,0.7391304347826086,0.8260869565217391,simple3_available,stats_only,real,
50,5,23,0.8260869565217391,0.5607843137254902,0.0010003220552123895,0.8260869565217391,0.9565217391304348,1.0,simple3_available,stats_only,real,
1,5,24,0.7083333333333334,0.4484848484848485,0.007664321453702566,0.75,0.8333333333333334,0.9583333333333334,simple3_available,domain_label_score,real,
2,5,23,0.6521739130434783,0.388235294117647,0.02725177710180632,0.6521739130434783,0.782608695652174,0.8695652173913043,simple3_available,domain_label_score,real,
3,5,23,0.6956521739130435,0.4000000000000001,0.010707561698081635,0.7391304347826086,0.8260869565217391,0.9130434782608695,simple3_available,domain_label_score,real,
4,5,23,0.6956521739130435,0.48484848484848486,0.030624401180707046,0.6956521739130435,0.8695652173913043,0.8695652173913043,simple3_available,domain_label_score,real,
5,5,23,0.6956521739130435,0.4444444444444444,0.010275665962847914,0.7391304347826086,0.8695652173913043,0.9130434782608695,simple3_available,domain_label_score,real,
6,5,24,0.6666666666666666,0.3925925925925926,0.015338029340144882,0.7083333333333334,0.8333333333333334,0.875,simple3_available,domain_label_score,real,
7,5,23,0.7391304347826086,0.4259259259259259,0.007438342279478753,0.7391304347826086,0.8260869565217391,0.9565217391304348,simple3_available,domain_label_score,real,
8,5,23,0.782608695652174,0.4857142857142857,0.002217297298579031,0.782608695652174,0.9565217391304348,1.0,simple3_available,domain_label_score,real,
9,5,23,0.6956521739130435,0.46319272125723737,0.010774349257879439,0.6956521739130435,0.8260869565217391,0.9130434782608695,simple3_available,domain_label_score,real,
10,5,23,0.6521739130434783,0.3544973544973545,0.03711837961555549,0.6956521739130435,0.8260869565217391,0.9130434782608695,simple3_available,domain_label_score,real,
11,5,24,0.75,0.4777777777777778,0.009207894537952852,0.75,0.875,0.9166666666666666,simple3_available,domain_label_score,real,
12,5,23,0.7391304347826086,0.4563279857397504,0.016592664871800247,0.782608695652174,0.9565217391304348,0.9565217391304348,simple3_available,domain_label_score,real,
13,5,23,0.8260869565217391,0.5365418894830659,0.005001263798815516,0.8695652173913043,0.9565217391304348,0.9565217391304348,simple3_available,domain_label_score,real,
14,5,23,0.6086956521739131,0.3216931216931217,0.012962493700181599,0.6521739130434783,0.7391304347826086,0.9130434782608695,simple3_available,domain_label_score,real,
15,5,23,0.782608695652174,0.5079365079365079,0.016159923435156587,0.782608695652174,0.8695652173913043,0.9130434782608695,simple3_available,domain_label_score,real,
16,5,24,0.7916666666666666,0.5392385392385393,0.004064291282293982,0.7916666666666666,0.9166666666666666,0.9583333333333334,simple3_available,domain_label_score,real,
17,5,23,0.6956521739130435,0.4292929292929293,0.025521656158795796,0.7391304347826086,0.782608695652174,0.9130434782608695,simple3_available,domain_label_score,real,
18,5,23,0.5652173913043478,0.34027777777777773,0.031454514648250574,0.6086956521739131,0.7391304347826086,0.8260869565217391,simple3_available,domain_label_score,real,
19,5,23,0.5652173913043478,0.3186274509803922,0.008183945106782832,0.5652173913043478,0.8695652173913043,0.9130434782608695,simple3_available,domain_label_score,real,
20,5,23,0.7391304347826086,0.47450980392156855,0.016505374889009373,0.7391304347826086,0.8695652173913043,0.9130434782608695,simple3_available,domain_label_score,real,
21,5,24,0.6666666666666666,0.4215686274509804,0.023004935876347204,0.7083333333333334,0.875,0.9166666666666666,simple3_available,domain_label_score,real,
22,5,23,0.6956521739130435,0.35360360360360366,0.024683185851502733,0.7391304347826086,0.8260869565217391,0.9130434782608695,simple3_available,domain_label_score,real,
23,5,23,0.6086956521739131,0.39040529363110005,0.02448200338550616,0.6086956521739131,0.6521739130434783,0.8260869565217391,simple3_available,domain_label_score,real,
24,5,23,0.7391304347826086,0.4930555555555555,0.006155075282377171,0.782608695652174,0.8695652173913043,0.9565217391304348,simple3_available,domain_label_score,real,
