target_scenario,context_group,feature_set,n_shuffles,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,f1_macro_mean,f1_macro_std,f1_macro_ci95_low,f1_macro_ci95_high,f1_weighted_mean,f1_weighted_std,f1_weighted_ci95_low,f1_weighted_ci95_high,mean_regret_mean,mean_regret_std,mean_regret_ci95_low,mean_regret_ci95_high,mean_normalized_regret_mean,mean_normalized_regret_std,mean_normalized_regret_ci95_low,mean_normalized_regret_ci95_high,zero_regret_rate_mean,zero_regret_rate_std,zero_regret_rate_ci95_low,zero_regret_rate_ci95_high,within_1pp_rate_mean,within_1pp_rate_std,within_1pp_rate_ci95_low,within_1pp_rate_ci95_high,within_5pp_rate_mean,within_5pp_rate_std,within_5pp_rate_ci95_low,within_5pp_rate_ci95_high
all6_same107,domain,domain_label_score_shuffled,30,0.39884735202492216,0.010064781039894962,0.3794392523364486,0.4170794392523364,0.2684009159955947,0.0101797300344105,0.2509884436916703,0.2886791658673597,0.369257114581689,0.009946378829320491,0.35152100895595567,0.3875843107143233,0.020553455328685737,0.0009073627670453089,0.01865887838169606,0.022013079334256825,0.026667065428013177,0.001244301924612407,0.023908116866603137,0.028713410094626732,0.4416199376947041,0.00990810260583044,0.42352803738317757,0.4573598130841121,0.6693146417445482,0.008767418539732714,0.6547897196261683,0.6860747663551402,0.8780062305295949,0.0059702874079927614,0.8679672897196261,0.8926168224299066
all6_same107,full,context_full_shuffled,30,0.39352024922118384,0.017995302785484266,0.3682943925233645,0.42532710280373826,0.26349226692844585,0.016762744121477012,0.24204482671307304,0.30508959521909107,0.36278590533656385,0.017981249439984838,0.3395622837602592,0.3953888438845669,0.02156506075223485,0.0015305868850023013,0.01915726574464923,0.024882266800716618,0.02777639703392258,0.0020465306520853852,0.02460993937910453,0.032063453204315535,0.43626168224299067,0.018564505138314542,0.4119626168224299,0.46915887850467286,0.6605607476635514,0.013945236710833878,0.637803738317757,0.6888785046728972,0.8733644859813084,0.011815864882772954,0.8523130841121496,0.896518691588785
all6_same107,semantic,semantic_tags_fixed_vocab_shuffled,30,0.39495327102803734,0.015440031067982998,0.3754439252336449,0.4265887850467289,0.26353918206728816,0.01450153794475445,0.24479334105241152,0.3052961874082351,0.36411294698774843,0.015454369277730693,0.34404817509298063,0.3953348089202137,0.021653643804838373,0.0012541143301732754,0.019917036948851056,0.02402936802121384,0.027970327775825983,0.0016114618980671688,0.02593652754634868,0.031189391004408217,0.43797507788161993,0.016182707488094108,0.41621495327102803,0.4644158878504672,0.6608411214953271,0.011601331143947862,0.6375467289719626,0.6794859813084112,0.8723676012461059,0.010001741706016759,0.8535981308411216,0.8861682242990655
heavy3_same107,domain,domain_label_score_shuffled,30,0.5610903426791277,0.006891733578672296,0.5479906542056076,0.5718925233644859,0.46458230473570133,0.009609147796776721,0.4452787621726014,0.4821905082506299,0.5379025454542156,0.007745896724193117,0.5226546947583297,0.5494624221115469,0.016222217178728588,0.0008396854884584377,0.01497187333780415,0.01780191746417197,0.02113518321315206,0.0009803184220578771,0.01961119039616771,0.02294848886540446,0.5791900311526479,0.0070063731298066765,0.5660046728971962,0.5901635514018692,0.7444859813084113,0.0055295912330777025,0.7347429906542057,0.7545560747663551,0.9026791277258568,0.005058134742222313,0.8932009345794393,0.9113084112149533
heavy3_same107,full,context_full_shuffled,30,0.5457320872274143,0.014122365241149142,0.5195327102803738,0.5709579439252337,0.4459933323268335,0.018973684965887454,0.412035424423193,0.47996720742892784,0.5200697702893475,0.015177266418530651,0.49086110901522634,0.5490686268503364,0.01859286046382074,0.001432407003701967,0.016295917177801652,0.02115688862311976,0.023776407020822024,0.0017100450900008797,0.021099809724907492,0.027059176582181113,0.5638006230529594,0.014124497766578873,0.5361915887850467,0.5882943925233645,0.7287227414330216,0.011472321690376222,0.7101869158878504,0.7538785046728972,0.8906542056074767,0.008893333614229315,0.8745093457943925,0.9030607476635514
heavy3_same107,semantic,semantic_tags_fixed_vocab_shuffled,30,0.5490031152647975,0.012300270522653606,0.5303271028037384,0.5739252336448598,0.44907782403660373,0.015519575331072134,0.42171999822241124,0.47645198718212917,0.5233506958290618,0.012561286562570873,0.5015882018005098,0.5445739444262726,0.01825838766922873,0.0010469906399099365,0.016543139239961827,0.02019511379712511,0.023483774893571247,0.0013348741193452203,0.021248929324192502,0.026281309835697295,0.5671962616822429,0.012503459392818205,0.5483411214953271,0.5923598130841121,0.7321495327102806,0.007736383902735241,0.7212383177570093,0.7485280373831775,0.8918691588785047,0.007151949317653868,0.8779906542056075,0.9026401869158879
simple3_available,domain,domain_label_score_shuffled,30,0.6767528735632184,0.005978950072828507,0.6652801724137931,0.6873060344827586,0.41430309268643684,0.007722037054045505,0.39834106088495475,0.4255396727208665,0.6334493213423807,0.0065790666928454864,0.620521152038658,0.6440203944373801,0.01851383704730576,0.0005093533299170103,0.01755074775288795,0.019418621788590627,0.02403084018876393,0.0007063253401997709,0.022703584687917097,0.025294287862915685,0.7015804597701149,0.006415615325084038,0.6889439655172415,0.7140301724137931,0.8182758620689655,0.0052040254780256305,0.8077586206896552,0.827198275862069,0.8891954022988507,0.004660197519721705,0.879375,0.8961637931034483
simple3_available,full,context_full_shuffled,30,0.6733333333333336,0.011592279187507007,0.6549353448275862,0.695301724137931,0.40688993822352365,0.013716632523836694,0.38704163118598495,0.4322563144557342,0.6260321774524318,0.012563955069899392,0.6076573054322312,0.6473987675185843,0.018949205621493364,0.0013629140554810033,0.016527597559781386,0.02123659115166082,0.024346005677349833,0.001752517246781212,0.02110034806728941,0.027117955186815076,0.6991954022988508,0.01167598116171287,0.6799353448275862,0.7217887931034482,0.8161206896551726,0.01140780761328844,0.7975646551724138,0.8360560344827586,0.8872413793103447,0.00993129045779238,0.8690301724137931,0.9045474137931034
simple3_available,semantic,semantic_tags_fixed_vocab_shuffled,30,0.6749425287356322,0.010814575721718511,0.6582974137931034,0.6967241379310345,0.4091925626717703,0.01317571743797702,0.38910354925958585,0.4341776887359381,0.6288911393472125,0.011791401215153274,0.6112228710368804,0.6514947936663448,0.018730843160630062,0.001290790580468216,0.01648665540235831,0.02081823141758045,0.024121935229848457,0.001648571090188852,0.02113362105210662,0.026699252807673178,0.7008045977011493,0.011201025932717617,0.6824353448275862,0.721573275862069,0.8170977011494253,0.011349100833982837,0.7989008620689655,0.840603448275862,0.8888218390804598,0.009931505485483804,0.872176724137931,0.9057327586206897
simple3_same107,domain,domain_label_score_shuffled,30,0.6607788161993771,0.006029271787679393,0.6508878504672898,0.6728271028037384,0.4086840338866541,0.0053266703550727155,0.40071788660766655,0.41949548183775504,0.6162678873661882,0.005801774354500498,0.6076151458022793,0.6296917781596293,0.018991999814668446,0.000673810126871636,0.01790563959390442,0.020195308765197355,0.02418843371380729,0.0008960540905999596,0.022648398091383526,0.02595398922090215,0.6888473520249221,0.005869551609049143,0.6798598130841123,0.7010280373831775,0.8210591900311528,0.006515453176809773,0.8094158878504673,0.8337383177570094,0.8914330218068537,0.004970136091612791,0.8810514018691589,0.8982242990654206
simple3_same107,full,context_full_shuffled,30,0.6536448598130842,0.010434782172194535,0.6366121495327103,0.6688317757009345,0.39964745474438157,0.01695308799600926,0.37769648863141825,0.43672098417549166,0.6040313660400567,0.011593467257380518,0.583944110556003,0.6225920693432557,0.020226039639656673,0.0012193999210514225,0.018080736234292114,0.02253092800977822,0.02570316314671284,0.0014369933488910232,0.023024042826872558,0.02827419275689079,0.682056074766355,0.010150351109396882,0.6651635514018691,0.6966121495327102,0.8125545171339563,0.008959746131939112,0.7936915887850468,0.8263551401869159,0.8857943925233644,0.008595047717483106,0.8679672897196261,0.8983878504672898
simple3_same107,semantic,semantic_tags_fixed_vocab_shuffled,30,0.6545794392523364,0.009595754952378617,0.6368691588785047,0.668481308411215,0.3999502733602921,0.011955586967234018,0.38498556592159944,0.4249772511441062,0.6058602958466032,0.009775348314112146,0.5905750268334441,0.6224432565327249,0.019951395292707595,0.0008875330125946581,0.018883887380427504,0.021936439177278104,0.02547666177504347,0.001094876032989078,0.024120934526159574,0.02790933729591665,0.6829283489096574,0.009310061671474692,0.6655841121495327,0.6958411214953271,0.8131152647975076,0.007886308212076096,0.7984579439252337,0.8248130841121495,0.8866355140186916,0.006881528780788945,0.8745093457943925,0.8993224299065421
