did,DecisionTree,SVM,KNN,LogisticRegression,Perceptron,MLP,best_classifier,best_accuracy
46560,0.568712483769245,0.5742767575588945,0.5257905768874048,0.5713789649415693,0.4841730662214802,0.5428035614913745,SVM,0.5742767575588945
42141,0.2539563337632583,,,0.1594290372471399,0.1278127983651683,,DecisionTree,0.2539563337632583
46770,0.0030624263839811533,0.004240282685512368,0.0027090694935217896,0.003180212014134275,0.0030624263839811533,0.0030624263839811533,SVM,0.004240282685512368
45051,0.8047102578371361,0.7663667223149696,0.7986002596920795,0.823828788721944,0.743232238916713,0.8388315711370803,MLP,0.8388315711370803
46070,0.11499999999999999,0.05000000000000002,0.05000000000000002,0.04900000000000001,0.059333333333333335,0.04955555555555556,DecisionTree,0.11499999999999999
40985,0.058974358974358966,0.05808249721293198,0.05685618729096988,0.061872909698996635,0.05473801560758081,0.05774804905239686,LogisticRegression,0.061872909698996635
151,0.7751498794286775,0.7893767390094603,0.7695919124466705,0.7657017250973847,0.6675533296234466,0.7847106288258207,SVM,0.7893767390094603
1461,0.8709554813578186,0.8930762381747357,0.8916317937302912,0.8960762381747356,0.8620747542199964,0.8887417918753477,LogisticRegression,0.8960762381747356
279,0.9548145298901209,0.8445192223023449,0.9424596729090955,0.9232046471944768,0.8149126048040287,0.9456875358469642,DecisionTree,0.9548145298901209
46565,0.8799577072899277,0.8918467816731588,0.8819601187163791,0.8887354850677055,0.8386160267111854,0.9016267853830459,MLP,0.9016267853830459
46468,0.9034145798553145,0.9336447783342608,0.934644407345576,0.9343110740122428,0.9289777406789095,0.93531163049527,MLP,0.93531163049527
46553,0.8799588202559823,0.8921817844555743,0.8699536264143944,0.8881797440178075,0.8286073084770914,0.900852531997774,MLP,0.900852531997774
41027,0.7503615284733817,0.7810409942496755,0.7636987571879058,0.6731168614357262,0.6024344277499536,0.7892619180115006,MLP,0.7892619180115006
46561,0.7575336672231499,0.8142574661472827,0.7414038211834538,0.8114759784826564,0.7737712854757929,0.7820040808755332,SVM,0.8142574661472827
41762,0.498722129475051,0.5002782415136339,0.4973886106473754,0.4976115748469672,0.4998337970691894,0.4967206455203117,SVM,0.5002782415136339
41758,0.5088321276201075,0.5003893526247449,0.4987232424411056,0.4988312001483955,0.4998328695974773,0.5016138007790762,DecisionTree,0.5088321276201075
41763,0.5067236134297903,0.514838063439065,0.487161936560935,0.6860051938415878,0.49839046559079947,0.49060693748840656,LogisticRegression,0.6860051938415878
41727,0.5010647375255055,0.5003889816360602,0.500277870524949,0.49971879057688745,0.4999439807085884,0.4999449081803004,DecisionTree,0.5010647375255055
41734,0.5036106473752551,0.5012784270079762,0.4941647189760712,0.5215060285661287,0.4996104618809127,0.5068376924503804,LogisticRegression,0.5215060285661287
41715,0.5193952884437025,0.6135381190873678,0.39625505472083095,0.6136488592097941,0.5010682619180115,0.4061350398812837,LogisticRegression,0.6136488592097941
41723,0.4924974958263773,0.5085012057132258,0.49149638286032277,0.5632967909478761,0.4999410127991097,0.48949638286032277,LogisticRegression,0.5632967909478761
41709,0.4967271378222964,0.5096125023186794,0.49216249304396215,0.5610786496011873,0.5043904655907996,0.4889406418104248,LogisticRegression,0.5610786496011873
41718,0.5051723242441105,0.5131719532554256,0.4883836023001299,0.6372073826748285,0.5010608421443146,0.48571712112780574,LogisticRegression,0.6372073826748285
41712,0.5141684288629196,0.5191730662214802,0.49383546651827115,0.613426636987572,0.5106171396772399,0.4960562047857541,LogisticRegression,0.613426636987572
41804,0.5073943609719904,0.4997226859580783,0.4969439807085884,0.4990541643479874,0.5012774995362641,0.4948328695974773,DecisionTree,0.5073943609719904
41799,0.4856078649601187,0.4980550918196996,0.49583361157484707,0.5023865702096086,0.498499536264144,0.5016162122055279,LogisticRegression,0.5023865702096086
41777,0.5171728807271377,0.5245080690038955,0.4912749026154702,0.5520753107030235,0.49949749582637737,0.4811589686514561,LogisticRegression,0.5520753107030235
41779,0.5147265813392691,0.516505286588759,0.4901613800779076,0.5299584492672973,0.5033871266926359,0.4853854572435541,LogisticRegression,0.5299584492672973
41768,0.5175019476905953,0.525841958820256,0.4878302726766834,0.5267301057317751,0.4982806529400854,0.4800484140233723,LogisticRegression,0.5267301057317751
41773,0.4968315711370803,0.5012784270079762,0.49360916342051564,0.5145028751623075,0.5012758300871824,0.49394268224819143,LogisticRegression,0.5145028751623075
41780,0.48205268039324806,0.5168391764051197,0.4831608235948804,0.6426542385457243,0.5125049156000742,0.4914941569282137,LogisticRegression,0.6426542385457243
41824,0.4973910220738267,0.5007225004637358,0.5005002782415136,0.5040567612687813,0.4997219439807086,0.5000573177518085,LogisticRegression,0.5040567612687813
