did,DecisionTree,SVM,KNN,LogisticRegression,Perceptron,MLP,best_classifier,best_accuracy
46560,0.65206,,,0.59228,0.4699799999999999,,DecisionTree,0.65206
42141,0.4190638241425483,,,,,,DecisionTree,0.4190638241425483
46770,0.0029355990296107,,,0.0047907448742497,0.0029967548750902,,LogisticRegression,0.0047907448742497
45051,0.8159984335949122,,,0.8250480824490447,0.7232685602528985,,LogisticRegression,0.8250480824490447
46070,0.15,,,0.0523958333333333,0.0811875,,DecisionTree,0.15
40985,0.0538651387549257,,,0.0611388929004269,0.0485137836049005,,LogisticRegression,0.0611388929004269
151,0.886895354480918,,,0.7551200499371074,0.6581947262270851,,DecisionTree,0.886895354480918
1461,0.8741235483748749,,,0.8911105271740711,0.8571137118893943,,LogisticRegression,0.8911105271740711
279,0.9893499595077864,,,0.9521743396935378,0.8645604758734754,,DecisionTree,0.9893499595077864
46565,0.8981555555555556,,,0.891,0.8663333333333334,,DecisionTree,0.8981555555555556
46468,0.8971777777777777,,,0.9337777777777776,0.8370888888888889,,LogisticRegression,0.9337777777777776
46553,0.8973777777777778,,,0.8910222222222222,0.8663333333333334,,DecisionTree,0.8973777777777778
41027,0.7933689609865697,,,0.6764988126355944,0.5792593757578319,,DecisionTree,0.7933689609865697
46561,0.7918799044694643,,,0.8246559763448198,0.6646423291254406,,LogisticRegression,0.8246559763448198
41762,0.4990074158585282,,,0.5067883628066172,0.4991215059897319,,LogisticRegression,0.5067883628066172
41758,0.5058300057045064,,,0.5251568739304051,0.4996463205932687,,LogisticRegression,0.5251568739304051
41763,0.533097547062179,,,0.6952880775812893,0.5146833998859098,,LogisticRegression,0.6952880775812893
41727,0.5019737592698232,,,0.503685111237878,0.4988248716486024,,LogisticRegression,0.503685111237878
41734,0.4998288648031945,,,0.5383456930975472,0.5011751283513977,,LogisticRegression,0.5383456930975472
41715,0.5879064460924129,,,0.6424643468339989,0.5223958927552766,,LogisticRegression,0.6424643468339989
41723,0.5155048488305761,,,0.6481232173417,0.5112606959498003,,LogisticRegression,0.6481232173417
41709,0.5039132915002852,,,0.6634569309754708,0.5254535082715346,,LogisticRegression,0.6634569309754708
41718,0.5167826583000571,,,0.6969537934968625,0.5232401597261837,,LogisticRegression,0.6969537934968625
41712,0.5077010838562465,,,0.6989161437535654,0.5060810039931546,,LogisticRegression,0.6989161437535654
41804,0.5024757558471191,,,0.5139304050199658,0.5008784940102682,,LogisticRegression,0.5139304050199658
41799,0.5009925841414717,,,0.5182430119794639,0.500718767826583,,LogisticRegression,0.5182430119794639
41777,0.5109868796349116,,,0.6801369081574444,0.4953793496862522,,LogisticRegression,0.6801369081574444
41779,0.5235139760410724,,,0.6780604677695379,0.4916371933827724,,LogisticRegression,0.6780604677695379
41768,0.5108271534512265,,,0.6499714774671991,0.4891728465487736,,LogisticRegression,0.6499714774671991
41773,0.4991443240159726,,,0.5048260125499144,0.4941928123217342,,LogisticRegression,0.5048260125499144
41780,0.5343525385054193,,,0.7027267541357672,0.4899486594409583,,LogisticRegression,0.7027267541357672
41824,0.4996691386195093,,,0.5144095835710211,0.4992812321734169,,LogisticRegression,0.5144095835710211
41833,0.518220193953223,,,0.6960638904734741,0.4989161437535653,,LogisticRegression,0.6960638904734741
41835,0.5105077010838562,,,0.6929606389047347,0.5103023388476896,,LogisticRegression,0.6929606389047347
41832,0.4970450656018254,,,0.509184255561894,0.4990758699372504,,LogisticRegression,0.509184255561894
41856,0.514500855675984,,,0.6451340559041643,0.5091158014831717,,LogisticRegression,0.6451340559041643
41782,0.4956303479749001,,,0.5168739304050199,0.4979806046776954,,LogisticRegression,0.5168739304050199
41805,0.6769423844837422,,,0.7108499714774672,0.6891500285225328,,LogisticRegression,0.7108499714774672
46822,1.0,,,0.8133870851588874,0.6235652862905315,,DecisionTree,1.0
727,0.9063971660944456,,,0.8374952289848119,0.7689853943381877,,DecisionTree,0.9063971660944456
901,0.8733074896010897,,,0.8368574028812044,0.8052879921200444,,DecisionTree,0.8733074896010897
881,0.9966149807064012,,,0.9981112270264356,0.9620791063575298,,LogisticRegression,0.9981112270264356
41434,0.6344239349130085,,,0.8323570503936029,0.5184232199123607,,LogisticRegression,0.8323570503936029
251,0.9766295529542666,,,0.9792461130711668,0.9722353280347358,,LogisticRegression,0.9792461130711668
137,0.7682009527616159,,,0.6413149102685859,0.5481872258295513,,DecisionTree,0.7682009527616159
45714,1.0,,,0.7197167138810199,0.1679320113314447,,DecisionTree,1.0
46371,0.7936571428571428,,,0.8343142857142857,0.731,,LogisticRegression,0.8343142857142857
1486,0.9494559698244596,,,0.9480922675177716,0.9040185695633252,,DecisionTree,0.9494559698244596
43551,0.9784627432049418,,,0.985661211411616,0.985661211411616,,LogisticRegression,0.985661211411616
4135,0.9205652266784934,,,0.9421099226089228,0.8741819396977235,,LogisticRegression,0.9421099226089228
1119,0.8123214023663126,,,0.8247289252528773,0.746167106346747,,LogisticRegression,0.8247289252528773
46548,0.7285333333333333,,,0.8109666666666667,0.7743333333333334,,LogisticRegression,0.8109666666666667
46871,1.0,,,1.0,1.0,,DecisionTree,1.0
46919,0.7273666666666666,,,0.8107,0.7496666666666667,,LogisticRegression,0.8107
1537,0.9589534476157936,,,0.9755117711747684,0.9742541658595512,,LogisticRegression,0.9755117711747684
1481,0.8401055011964204,,,0.2792989104870244,0.147953306260117,,DecisionTree,0.8401055011964204
184,0.8398203660892658,,,0.2794058432975751,0.1515901333204949,,DecisionTree,0.8398203660892658
46173,0.8398203660892658,,,0.2794058432975751,0.1515901333204949,,DecisionTree,0.8398203660892658
46874,0.7660657992844386,,,0.8457042744231421,0.7273940128405452,,LogisticRegression,0.8457042744231421
46541,1.0,,,0.9967298689880236,0.9732944548296476,,DecisionTree,1.0
46682,0.607218298582049,,,0.5629987867268398,0.5466731404049444,,DecisionTree,0.607218298582049
42493,0.578627570407567,,,0.5783676514984165,0.529238178742944,,DecisionTree,0.578627570407567
45067,0.6338047517946743,,,0.7308918783344973,0.5856882711409056,,LogisticRegression,0.7308918783344973
45037,0.8177158999192897,,,0.6592816787732042,0.5483050847457627,,DecisionTree,0.8177158999192897
843,0.8394927735176883,,,0.8545911094336628,0.716647169219156,,LogisticRegression,0.8545911094336628
821,0.8399755472723515,,,0.8269399912107357,0.6956257707705134,,DecisionTree,0.8399755472723515
45504,0.2357673480092472,,,0.0972169560633328,0.0905783291729558,,DecisionTree,0.2357673480092472
43890,1.0,,,1.0,0.9453846153846154,,DecisionTree,1.0
823,0.9763565891472868,,,0.963468992248062,0.8784399224806203,,DecisionTree,0.9763565891472868
45578,0.8464147286821705,,,0.8370155038759691,0.711531007751938,,DecisionTree,0.8464147286821705
44090,0.8388098028177351,,,0.831977022318884,0.7232729359557275,,DecisionTree,0.8388098028177351
46808,0.3362739006630855,,,0.4647008555111359,0.3302616341395469,,LogisticRegression,0.4647008555111359
6,0.87645,,,0.77265,0.4742999999999999,,DecisionTree,0.87645
41671,0.5094,,,0.5697,0.496,,LogisticRegression,0.5697
40926,0.2476499999999999,,,0.31215,0.2351499999999999,,LogisticRegression,0.31215
41159,,,,0.66905,0.6331,,LogisticRegression,0.66905
1222,0.9324,0.93,0.9707,0.7869,0.6608,0.9539,KNN,0.9707
46935,0.7123909361548384,,,0.7680860838048467,0.7599959864831947,,LogisticRegression,0.7680860838048467
1120,0.8184016824395375,,,0.7905888538380652,0.6709779179810726,,DecisionTree,0.8184016824395375
45558,0.9690467516128376,,,0.978600838847342,0.9734051988555212,,LogisticRegression,0.978600838847342
45024,0.6848753695074231,,,0.7243633498760238,0.6349147436527427,,LogisticRegression,0.7243633498760238
44162,0.678083046421887,,,0.6839709892090486,0.605204626591492,,LogisticRegression,0.6839709892090486
846,0.8064339309633836,,,0.8977650402755948,0.8205298082961555,,LogisticRegression,0.8977650402755948
44226,0.7295490381583096,,,0.8143803216650898,0.6556922106590981,,LogisticRegression,0.8143803216650898
45936,0.0389244558258642,,,0.0681818181818181,0.0323943661971831,,LogisticRegression,0.0681818181818181
41526,0.7461252726499873,,,0.7990611222061456,0.7232201088221211,,LogisticRegression,0.7990611222061456
1046,0.9284014152460598,,,0.8496622708266323,0.732068189128337,,DecisionTree,0.9284014152460598
722,0.978,,,0.8893333333333334,0.7390000000000001,,DecisionTree,0.978
1471,0.8301068090787715,,,0.5951935914552736,0.5112817089452604,,DecisionTree,0.8301068090787715
1040,0.9907606807919416,,,0.9947898575894408,0.9906217436609934,,LogisticRegression,0.9947898575894408
4154,0.9979634831460672,,,0.9990168539325844,0.9990870786516854,,Perceptron,0.9990870786516854
1476,0.9721782890007188,,,0.9904385334291878,0.9766355140186918,,LogisticRegression,0.9904385334291878
734,0.8311272727272726,,,0.8796363636363637,0.8165818181818182,,LogisticRegression,0.8796363636363637
959,1.0,,,1.0,1.0,,DecisionTree,1.0
46937,0.6843271630344093,,,0.6272466548706899,0.5447021619464107,,DecisionTree,0.6843271630344093
45060,0.7928629359286293,,,0.8832927818329279,0.8528791565287916,,LogisticRegression,0.8832927818329279
46689,0.2425980598903416,,,0.2625052720371151,0.2,,LogisticRegression,0.2625052720371151
310,0.9812211761375405,,,0.9837250486412048,0.9738893291632114,,LogisticRegression,0.9837250486412048
4534,0.9626413387607416,,,0.9270918136589776,0.8853912256897332,,DecisionTree,0.9626413387607416
46924,0.6338739509694489,,,0.6390573401132746,0.6129684980776385,,LogisticRegression,0.6390573401132746
1019,0.9885369352683678,,,0.9941775999596144,0.9848978007622788,,LogisticRegression,0.9941775999596144
1044,0.594734340949386,,,0.5033825438501901,0.4410187254083252,,DecisionTree,0.594734340949386
1053,0.7508497932935232,,,0.8130454754248968,0.7197060174552136,,LogisticRegression,0.8130454754248968
46932,0.6244382507934854,,,0.7171799289132246,0.6054979777668656,,LogisticRegression,0.7171799289132246
1478,0.9291199422851132,,,0.9847561498889554,0.9469850573140888,,LogisticRegression,0.9847561498889554
46819,0.988541331686133,,,0.9870848323957808,0.9837830599263476,,DecisionTree,0.988541331686133
1459,0.9142679456269462,,,0.3509494019481347,0.2355618871369278,,DecisionTree,0.9142679456269462
46282,0.8568467784601937,,,0.8710915701650965,0.8332976056060231,,LogisticRegression,0.8710915701650965
43920,0.8579333907913496,,,0.8716851398593697,0.7661973120024118,,LogisticRegression,0.8716851398593697
46868,0.9658,0.9535,0.9498,0.9442,0.933,0.9774,MLP,0.9774
46911,0.7901,0.8516,0.8323,0.8084,0.7082999999999999,0.8583000000000001,MLP,0.8583000000000001
41165,0.2452,,,0.3263,,,LogisticRegression,0.3263
41163,0.8056000000000001,,,0.9392,0.9133,,LogisticRegression,0.9392
46298,0.8432999999999999,0.9023,0.8544,0.8160000000000001,0.6510999999999999,0.9609,MLP,0.9609
375,0.8786253392899244,0.9781144648841226,0.9790181800962,0.940567891233776,0.8703936166139721,0.9855438311197624,MLP,0.9855438311197624
42140,0.3302098061747091,,,0.1873686079635534,0.1219958348236141,,DecisionTree,0.3302098061747091
4538,0.506127659574468,0.5347931206956253,0.5842205378784964,0.4746287561078834,0.370804509253203,0.5599123286265758,KNN,0.5842205378784964
45553,0.6374238261962474,0.7334603003603812,0.6920264707013967,0.7286984981980942,0.690406063637413,0.7143143908788939,SVM,0.7334603003603812
46281,0.8963551043464293,0.9403380440809896,0.9353494193187296,0.9394218580764188,0.932599824836886,0.9199760575861694,SVM,0.9403380440809896
46916,0.8990021921300976,0.9403380440809896,0.9336182065991926,0.9394217026061992,0.8577918564698933,0.9086753419049248,SVM,0.9403380440809896
819,0.8234733304777506,0.8832600670325934,0.8638217189135243,0.8804233805976411,0.825570638134392,0.880843659061102,SVM,0.8832600670325934
1056,0.9931333189414008,0.9941896756292704,0.9942953280328628,0.9940840232256783,0.9893296650640302,0.9942953280328628,KNN,0.9942953280328628
41082,0.8806201738707943,0.9533221121310452,0.9613892311162784,0.9438583583496736,0.9043876636184328,0.967304424277129,MLP,0.967304424277129
41972,0.8304895717309144,0.5833334330318849,0.7983372076190431,0.8964352583528443,0.5146431848662385,0.6115534071182374,LogisticRegression,0.8964352583528443
373,0.4856043956043955,0.3328571428571428,0.4282417582417582,0.2869230769230769,0.2684615384615385,0.3354945054945055,DecisionTree,0.4856043956043955
923,0.9997685185185186,0.995255165156481,0.9950234828524304,0.995255031274768,0.988195180793865,1.0,MLP,1.0
41164,0.650600827630113,0.673666153818947,0.6238923668217,0.6440473558868435,0.6487788918952375,0.6648032462671171,SVM,0.673666153818947
761,0.9035654874581048,0.9375009032727156,0.9259025836207048,0.9357916505567512,0.9104039882563372,0.9374997113252148,SVM,0.9375009032727156
735,0.8825686617632927,0.9200447576286503,0.9154060704396274,0.9146739911840582,0.8735418198505448,0.9215085436561946,MLP,0.9215085436561946
725,0.9112548897783797,0.945678631584672,0.896850055239317,0.9417732155987192,0.9168689625065464,0.9453127037019656,SVM,0.945678631584672
752,0.8383784746200854,0.6380604481275622,0.5948493713594385,0.6426989118264286,0.537466634782071,0.8509521798112403,MLP,0.8509521798112403
833,0.7363294423697109,0.82238700896419,0.7437728565245344,0.8187245267782179,0.786131094855927,0.780277887660438,SVM,0.82238700896419
807,0.7579375881389304,0.8919694027076577,0.8502203985425462,0.7315669416340558,0.6373261339704291,0.9127194952698308,MLP,0.9127194952698308
816,0.7624537282255403,0.827394976388265,0.789552952640201,0.8261734536902322,0.6657601905924053,0.8287358428298026,MLP,0.8287358428298026
43922,1.0,0.9916300113679424,1.0,0.9560562334217508,0.9241765820386508,1.0,DecisionTree,1.0
43985,0.8062080393414582,0.952161477607276,0.8726442821664117,0.95985633459976,0.9317708590319238,0.958446160424993,LogisticRegression,0.95985633459976
46969,0.897878959804979,0.9380604426092696,0.912163159952652,0.9355239941892728,0.9153650275083256,0.925377933308454,SVM,0.9380604426092696
1507,0.8422972972972973,0.9766216216216216,0.969864864864865,0.9772972972972972,0.9632432432432432,0.9701351351351352,LogisticRegression,0.9772972972972972
1496,0.8767567567567568,0.9777027027027028,0.687027027027027,0.7602702702702702,0.6743243243243244,0.9677027027027026,SVM,0.9777027027027028
803,0.9103652961295244,0.9422068354617258,0.9388399891734946,0.9389803400506878,0.8898783002386752,0.9403832582859672,SVM,0.9422068354617258
42178,0.6886240644557713,0.7941184713529905,0.7359042317246274,0.8046264073488612,0.7469829706755274,0.7593315496161044,LogisticRegression,0.8046264073488612
46280,0.7300864168656042,0.7959637516936576,0.7528005839086392,0.8034889347699853,0.7616082085941029,0.7672847845022259,LogisticRegression,0.8034889347699853
46962,0.9516072016403354,0.9677372020921592,0.9696434680270148,0.9670032036455722,0.9407578375284812,0.9617209536493372,KNN,0.9696434680270148
40666,1.0,1.0,0.975901279665495,1.0,1.0,1.0,DecisionTree,1.0
1116,0.9996968548257404,0.9996968548257404,0.9757494199002918,0.9995453396742252,0.9995453396742252,0.9996968548257404,DecisionTree,0.9996968548257404
847,0.7944945049221313,0.8547312070651827,0.8430191387282904,0.8533630802530224,0.740648992135007,0.8609667170165112,MLP,0.8609667170165112
182,0.8584758942457231,0.900933125972006,0.9069984447900468,0.8567651632970451,0.7771384136858476,0.908398133748056,MLP,0.908398133748056
1475,0.5544298013563562,0.5330174915428151,0.5567163142171558,0.477605160352503,0.3666281884789893,0.5568805145388763,MLP,0.5568805145388763
47152,0.9870726477665264,0.980691878123961,0.9842174812210144,0.9761588592294558,0.8817990352701187,0.9895909759437392,MLP,0.9895909759437392
