did,name,nr_attr,desc,feats
764,analcatdata_apnea3,3,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"Automatic, binaryClass, Subject, Scorer_2"
957,braziltourism,8,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-cla,"Travel_cost, Access_road, Active, Sex, Age, Passive, Income, binaryClass, Logged_income"
907,chscase_census4,7,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"col_6, col_1, col_2, col_3, col_5, col_4, col_7, binaryClass"
909,chscase_census2,7,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"col_6, col_1, col_2, col_3, col_5, col_4, col_7, binaryClass"
908,chscase_census3,7,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"col_6, col_1, col_2, col_3, col_5, col_4, col_7, binaryClass"
900,chscase_census6,6,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"col_6, col_1, col_2, col_3, col_5, col_4, binaryClass"
906,chscase_census5,7,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"col_6, col_1, col_2, col_3, col_5, col_4, col_7, binaryClass"
475,analcatdata_germangss,5,"**Author**: **Source**: Unknown - Date unknown **Please cite**: analcatdata A collection of data sets used in the book ""Analyzing Categorical Data,"" by Jeffrey S. Simonoff, Springe","Region, Time_of_survey, Political_system, Age, Count, Schooling"
40663,calendarDOW,32,calendarDOW-pmlb,"Feature00, Feature19, Feature20, Feature08, Feature24, Feature26, Feature16, Feature25, Feature13, Feature11, Feature10,"
831,autoMpg,7,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"cylinders, displacement, model, acceleration, horsepower, weight, origin, binaryClass"
40700,cars1,7,cars1-pmlb,"cylinders, cubicInches, year, class, horsepower, time-to-sixty, weightLbs, MPG"
860,vinnie,2,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"year, binaryClass, field_goals"
1048,jEdit_4.2_4.3,8,,"DIT, LCOM, NPM, CBO, NOC, RFC, LOC, WMC, Bug-count"
1010,dermatology,34,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-cla,"polygonal_papules, exocytosis, thinning_of_the_suprapapillary_epidermis, koebner_phenomenon, scaling, band-like_infiltra"
984,analcatdata_draft,4,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-cla,"Month, Lottery.pick.1971, Month.ordered.picks.1970, Actual.date, binaryClass, Lottery.pick.1970"
968,analcatdata_birthday,3,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-cla,"binaryClass, Month, Births, Day"
986,analcatdata_marketing,32,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-cla,"X1l, X1n, X2a, X3a, X2j, X2e, X5, X1b, X1d, X1m, X1e, X1k, X2f, X2b, X3c, X2h, X1j, X2m, X2c, X1f, binaryClass, X2i, X2l"
41496,DRSongsLyrics,1,This dataset contains 358 lyrics of songs for the rock bands 'The Rolling Stones' and 'Deep Purple'. The bands are equally represented in the dataset (179 songs for each band). Thi,"identifier, class, text"
1011,ecoli,7,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-cla,"aac, alm1, gvh, chg, mcg, binaryClass, alm2, lip"
1447,CastMetal1,37,"**Author**: Hans Bauer Jesus"",""Deter Bergman **Source**: Unknown - Date unknown **Please cite**: cast metal 1","a, ab, p, e, r, c, t, d, k, ag, s, af, ah, ai, ad, v, b, aa, o, m, ac, z, def, g, u, aj, i, ae, l, ak, j, am, h, an, al,"
925,visualizing_galaxy,4,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"northsouth, angle, binaryClass, eastwest, radialposition"
