target_scenario,feature_set,target_classifiers,datasets_used,n_statistical_features,target_classes,n_classes,n_splits,accuracy,f1_macro,f1_weighted,mean_regret,median_regret,p90_regret,mean_normalized_regret,zero_regret_rate,within_1pp_rate,within_5pp_rate,f1_macro_delta_vs_stats,accuracy_delta_vs_stats,regret_reduction_vs_stats,normalized_regret_reduction_vs_stats
simple3_available,stats_only,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,5,0.6551724137931034,0.39592760180995473,0.6147799968793883,0.020954282460040764,0.0,0.06254884522221299,0.026912463361967804,0.6810344827586207,0.8103448275862069,0.8793103448275862,0.0,0.0,0.0,0.0
simple3_available,domain_label_score,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,5,0.6982758620689655,0.4404004316921588,0.6629432576332132,0.014539189950667305,0.0,0.03359898836034941,0.0195055097268569,0.7155172413793104,0.8448275862068966,0.9137931034482759,0.04447282988220408,0.0431034482758621,0.006415092509373459,0.007406953635110906
simple3_available,semantic_tags_fixed_vocab,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,5,0.6810344827586207,0.42387704216441513,0.6445565595007565,0.017871496698453792,0.0,0.047771023312628835,0.02374101043488108,0.7068965517241379,0.8275862068965517,0.896551724137931,0.027949440354460398,0.025862068965517238,0.0030827857615869717,0.003171452927086725
simple3_available,context_full,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,5,0.7241379310344828,0.4628959276018099,0.688972538617569,0.012853791105018483,0.0,0.031983217967058525,0.01931643829012785,0.7413793103448276,0.8620689655172413,0.9224137931034483,0.06696832579185519,0.06896551724137934,0.00810049135502228,0.007596025071839953
simple3_available,domain_label_score_shuffled,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,5,0.6551724137931034,0.3986928104575163,0.6171399594320487,0.020844741815067673,0.0,0.06128798724248152,0.0267674378087496,0.6810344827586207,0.8103448275862069,0.8879310344827587,0.002765208647561579,0.0,0.00010954064497309055,0.0001450255532182039
simple3_available,semantic_tags_fixed_vocab_shuffled,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,5,0.6551724137931034,0.3891472868217054,0.6099839615076184,0.02166721615808055,0.0,0.06786208973268021,0.028698810614538724,0.6810344827586207,0.8017241379310345,0.8793103448275862,-0.006780314988249325,0.0,-0.0007129336980397881,-0.0017863472525709197
simple3_available,context_full_shuffled,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,5,0.6810344827586207,0.4150547308442045,0.637954302201126,0.020627024935716713,0.0,0.06128798724248152,0.027546494170563294,0.7068965517241379,0.8189655172413793,0.8879310344827587,0.01912712903424979,0.025862068965517238,0.0003272575243240504,-0.0006340308085954899
simple3_same107,stats_only,"DecisionTree, LogisticRegression, Perceptron",107,63,"DecisionTree, LogisticRegression, Perceptron",3,5,0.6728971962616822,0.4018020429100317,0.615594332744297,0.02081042613635301,0.0,0.05116840833456984,0.02672675686363038,0.7009345794392523,0.822429906542056,0.897196261682243,0.0,0.0,0.0,0.0
simple3_same107,domain_label_score,"DecisionTree, LogisticRegression, Perceptron",107,63,"DecisionTree, LogisticRegression, Perceptron",3,5,0.7102803738317757,0.4385565814710737,0.6567993686930269,0.016668204044312667,0.0,0.030630393863509506,0.01997969575782957,0.7383177570093458,0.8598130841121495,0.9345794392523364,0.036754538561041994,0.03738317757009346,0.004142222092040342,0.006747061105800811
simple3_same107,semantic_tags_fixed_vocab,"DecisionTree, LogisticRegression, Perceptron",107,63,"DecisionTree, LogisticRegression, Perceptron",3,5,0.6635514018691588,0.38047138047138046,0.5957707920324743,0.017625188656484877,0.0,0.04603692307692304,0.022547008416611725,0.7009345794392523,0.8317757009345794,0.897196261682243,-0.021330662438651227,-0.009345794392523366,0.003185237479868132,0.004179748447018655
simple3_same107,context_full,"DecisionTree, LogisticRegression, Perceptron",107,63,"DecisionTree, LogisticRegression, Perceptron",3,5,0.6915887850467289,0.4131585001150218,0.6307411492295685,0.015303737565844685,0.0,0.03188635506696375,0.019538813402478553,0.7289719626168224,0.8598130841121495,0.9252336448598131,0.011356457204990122,0.01869158878504673,0.005506688570508324,0.007187943461151827
simple3_same107,domain_label_score_shuffled,"DecisionTree, LogisticRegression, Perceptron",107,63,"DecisionTree, LogisticRegression, Perceptron",3,5,0.7009345794392523,0.43248945147679324,0.6488820537087424,0.01704942037722986,0.0,0.03622288193651515,0.02283191140487902,0.7289719626168224,0.8411214953271028,0.9065420560747663,0.030687408566761554,0.028037383177570097,0.0037610057591231476,0.0038948454587513608
simple3_same107,semantic_tags_fixed_vocab_shuffled,"DecisionTree, LogisticRegression, Perceptron",107,63,"DecisionTree, LogisticRegression, Perceptron",3,5,0.6728971962616822,0.40488560751071007,0.6183608953766814,0.01987681914879506,0.0,0.04603692307692304,0.025672144103816432,0.7009345794392523,0.8317757009345794,0.897196261682243,0.003083564600678379,0.0,0.0009336069875579486,0.0010546127598139478
simple3_same107,context_full_shuffled,"DecisionTree, LogisticRegression, Perceptron",107,63,"DecisionTree, LogisticRegression, Perceptron",3,5,0.719626168224299,0.45059774964838256,0.6692692929531922,0.014022141220854925,0.0,0.03337269718178603,0.01879793828631977,0.7383177570093458,0.8504672897196262,0.9158878504672897,0.048795706738350875,0.04672897196261683,0.006788284915498084,0.00792881857731061
heavy3_same107,stats_only,"SVM, KNN, MLP",107,63,"KNN, MLP, SVM",3,5,0.5514018691588785,0.47298847721643966,0.5370185847240315,0.014281927491086045,0.0,0.05020205515954347,0.019029023814682116,0.5700934579439252,0.7383177570093458,0.897196261682243,0.0,0.0,0.0,0.0
heavy3_same107,domain_label_score,"SVM, KNN, MLP",107,63,"KNN, MLP, SVM",3,5,0.5607476635514018,0.482407116692831,0.5423324872724072,0.013084772355946772,0.0,0.040921095008051495,0.017560385837156568,0.5794392523364486,0.7570093457943925,0.9158878504672897,0.009418639476391322,0.009345794392523366,0.0011971551351392731,0.0014686379775255484
heavy3_same107,semantic_tags_fixed_vocab,"SVM, KNN, MLP",107,63,"KNN, MLP, SVM",3,5,0.5327102803738317,0.44179889436724934,0.5113472438075211,0.016849089768772904,0.0,0.040921095008051495,0.02184591433697902,0.5514018691588785,0.7383177570093458,0.9065420560747663,-0.031189582849190323,-0.01869158878504673,-0.002567162277686859,-0.0028168905222969026
heavy3_same107,context_full,"SVM, KNN, MLP",107,63,"KNN, MLP, SVM",3,5,0.5700934579439252,0.47044509117216654,0.5417702565587211,0.010627514062239832,0.0,0.03379017452024609,0.01386092910155867,0.5887850467289719,0.7663551401869159,0.9532710280373832,-0.0025433860442731215,0.01869158878504673,0.0036544134288462125,0.0051680947131234455
heavy3_same107,domain_label_score_shuffled,"SVM, KNN, MLP",107,63,"KNN, MLP, SVM",3,5,0.5420560747663551,0.44841665742896203,0.5182766690805566,0.016334489913152953,0.0,0.04532652242870399,0.0200209620514781,0.5607476635514018,0.7383177570093458,0.9065420560747663,-0.024571819787477633,-0.009345794392523366,-0.0020525624220669083,-0.0009919382367959834
heavy3_same107,semantic_tags_fixed_vocab_shuffled,"SVM, KNN, MLP",107,63,"KNN, MLP, SVM",3,5,0.5046728971962616,0.41953601953601954,0.48515970011297116,0.018040480887276715,0.0,0.049890936263731915,0.02200815382710353,0.5327102803738317,0.7289719626168224,0.897196261682243,-0.05345245768042012,-0.04672897196261683,-0.00375855339619067,-0.0029791300124214146
heavy3_same107,context_full_shuffled,"SVM, KNN, MLP",107,63,"KNN, MLP, SVM",3,5,0.514018691588785,0.42713566380798973,0.49477614399627,0.02100420783802182,0.0,0.05574505815469685,0.02501903730146698,0.5420560747663551,0.7289719626168224,0.8785046728971962,-0.04585281340844993,-0.03738317757009346,-0.006722280346935774,-0.005990013486784865
all6_same107,stats_only,"DecisionTree, LogisticRegression, Perceptron, SVM, KNN, MLP",107,63,"DecisionTree, KNN, LogisticRegression, MLP, Perceptron, SVM",6,5,0.4205607476635514,0.30090515043345234,0.39173295143141734,0.0189680099463519,0.0006472491909383926,0.06072486466963343,0.024311665875075997,0.4672897196261682,0.6822429906542056,0.8691588785046729,0.0,0.0,0.0,0.0
all6_same107,domain_label_score,"DecisionTree, LogisticRegression, Perceptron, SVM, KNN, MLP",107,63,"DecisionTree, KNN, LogisticRegression, MLP, Perceptron, SVM",6,5,0.4205607476635514,0.27308946502180076,0.38188083006548396,0.015794759882773846,0.0006472491909383926,0.04295604450027234,0.020282584323383975,0.4672897196261682,0.7289719626168224,0.9065420560747663,-0.02781568541165158,0.0,0.003173250063578055,0.004029081551692022
all6_same107,semantic_tags_fixed_vocab,"DecisionTree, LogisticRegression, Perceptron, SVM, KNN, MLP",107,63,"DecisionTree, KNN, LogisticRegression, MLP, Perceptron, SVM",6,5,0.3925233644859813,0.26263910969793325,0.3679241638559945,0.019225764845748186,0.0013996889580092375,0.06583756415293579,0.02468491134804135,0.4392523364485981,0.6635514018691588,0.8691588785046729,-0.03826604073551909,-0.028037383177570097,-0.00025775489939628554,-0.0003732454729653521
