target_scenario,feature_set,fold,n_test,accuracy,f1_macro,f1_weighted,mean_regret,median_regret,p90_regret,mean_normalized_regret,zero_regret_rate,within_1pp_rate,within_5pp_rate
simple3_available,stats_only,1,24,0.625,0.3688311688311689,0.5703463203463203,0.01925928837589349,0.0,0.03376098201719187,0.02198302838264816,0.6666666666666666,0.7916666666666666,0.9166666666666666
simple3_available,stats_only,2,23,0.6956521739130435,0.4000000000000001,0.6434782608695653,0.02487082472085394,0.0,0.03493874546506107,0.02584319388619132,0.6956521739130435,0.8260869565217391,0.9130434782608695
simple3_available,stats_only,3,23,0.6956521739130435,0.4000000000000001,0.6434782608695653,0.010707561698081635,0.0,0.03198430346631782,0.014082242583757473,0.7391304347826086,0.8260869565217391,0.9130434782608695
simple3_available,stats_only,4,23,0.6956521739130435,0.48484848484848486,0.6877470355731226,0.030624401180707046,0.0,0.1063263925023626,0.044889516494326674,0.6956521739130435,0.8695652173913043,0.8695652173913043
simple3_available,stats_only,5,23,0.5652173913043478,0.34027777777777773,0.5353260869565217,0.01938303171963064,0.0,0.0732306956068797,0.027978658722885828,0.6086956521739131,0.7391304347826086,0.782608695652174
simple3_available,domain_label_score,1,24,0.5833333333333334,0.3074074074074074,0.5097222222222223,0.02342595504256016,0.0,0.06661393061412299,0.031516926687732906,0.625,0.75,0.875
simple3_available,domain_label_score,2,23,0.7391304347826086,0.4563279857397504,0.7030923041153219,0.005914302981723502,0.0,0.018310711844546454,0.006810541537666785,0.7391304347826086,0.8695652173913043,0.9565217391304348
simple3_available,domain_label_score,3,23,0.7391304347826086,0.4563279857397504,0.7030923041153219,0.010707561698081635,0.0,0.03198430346631782,0.014082242583757473,0.7391304347826086,0.8260869565217391,0.9130434782608695
simple3_available,domain_label_score,4,23,0.7391304347826086,0.5375,0.7385869565217391,0.021986082977171452,0.0,0.004271844660194369,0.02710071910754824,0.7391304347826086,0.9130434782608695,0.9130434782608695
simple3_available,domain_label_score,5,23,0.6956521739130435,0.4444444444444444,0.6561264822134387,0.010275665962847914,0.0,0.023251063829787318,0.01749488319754099,0.7391304347826086,0.8695652173913043,0.9130434782608695
simple3_available,semantic_tags_fixed_vocab,1,24,0.7083333333333334,0.4677544677544678,0.671911421911422,0.006842583200022394,0.0,0.025155928686014718,0.009512589702720094,0.75,0.8333333333333334,0.9583333333333334
simple3_available,semantic_tags_fixed_vocab,2,23,0.6956521739130435,0.4000000000000001,0.6434782608695653,0.02487082472085394,0.0,0.03493874546506107,0.02584319388619132,0.6956521739130435,0.8260869565217391,0.9130434782608695
simple3_available,semantic_tags_fixed_vocab,3,23,0.6956521739130435,0.4000000000000001,0.6434782608695653,0.010707561698081635,0.0,0.03198430346631782,0.014082242583757473,0.7391304347826086,0.8260869565217391,0.9130434782608695
simple3_available,semantic_tags_fixed_vocab,4,23,0.6956521739130435,0.48484848484848486,0.6877470355731226,0.030624401180707046,0.0,0.1063263925023626,0.044889516494326674,0.6956521739130435,0.8695652173913043,0.8695652173913043
simple3_available,semantic_tags_fixed_vocab,5,23,0.6086956521739131,0.3636363636363636,0.5691699604743083,0.01679163067079662,0.0,0.0732306956068797,0.02499613649576466,0.6521739130434783,0.782608695652174,0.8260869565217391
simple3_available,context_full,1,24,0.7083333333333334,0.4484848484848485,0.6590909090909091,0.007664321453702566,0.0,0.025155928686014718,0.014379343020325583,0.75,0.8333333333333334,0.9583333333333334
simple3_available,context_full,2,23,0.782608695652174,0.4857142857142857,0.7416149068322981,0.0030666740112346496,0.0,0.007139501133786856,0.0032096331651319653,0.782608695652174,0.9130434782608695,1.0
simple3_available,context_full,3,23,0.782608695652174,0.4857142857142857,0.7416149068322981,0.009400979634539921,0.0,0.02757402597402591,0.012729200993461613,0.782608695652174,0.8695652173913043,0.9130434782608695
simple3_available,context_full,4,23,0.6956521739130435,0.48484848484848486,0.6877470355731226,0.030624401180707046,0.0,0.1063263925023626,0.044889516494326674,0.6956521739130435,0.8695652173913043,0.8695652173913043
simple3_available,context_full,5,23,0.6521739130434783,0.4166666666666667,0.6195652173913043,0.013738208360182847,0.0,0.06478495297805636,0.021589154093471775,0.6956521739130435,0.8260869565217391,0.8695652173913043
simple3_available,domain_label_score_shuffled,1,24,0.6666666666666666,0.4215686274509804,0.6237745098039215,0.01916837928498439,0.0,0.03376098201719187,0.021890569017526795,0.7083333333333334,0.7916666666666666,0.9166666666666666
simple3_available,domain_label_score_shuffled,2,23,0.6956521739130435,0.4000000000000001,0.6434782608695653,0.02487082472085394,0.0,0.03493874546506107,0.02584319388619132,0.6956521739130435,0.8260869565217391,0.9130434782608695
simple3_available,domain_label_score_shuffled,3,23,0.6956521739130435,0.4000000000000001,0.6434782608695653,0.010707561698081635,0.0,0.03198430346631782,0.014082242583757473,0.7391304347826086,0.8260869565217391,0.9130434782608695
simple3_available,domain_label_score_shuffled,4,23,0.6086956521739131,0.4090909090909091,0.6047430830039526,0.032758198028016695,0.0,0.1146007884977524,0.04723708483403917,0.6086956521739131,0.8260869565217391,0.8695652173913043
simple3_available,domain_label_score_shuffled,5,23,0.6086956521739131,0.3636363636363636,0.5691699604743083,0.01679163067079662,0.0,0.0732306956068797,0.02499613649576466,0.6521739130434783,0.782608695652174,0.8260869565217391
simple3_available,semantic_tags_fixed_vocab_shuffled,1,24,0.625,0.3688311688311689,0.5703463203463203,0.023335045951651052,0.0,0.06661393061412299,0.03142446732261154,0.6666666666666666,0.75,0.875
simple3_available,semantic_tags_fixed_vocab_shuffled,2,23,0.6956521739130435,0.4000000000000001,0.6434782608695653,0.02487082472085394,0.0,0.03493874546506107,0.02584319388619132,0.6956521739130435,0.8260869565217391,0.9130434782608695
simple3_available,semantic_tags_fixed_vocab_shuffled,3,23,0.6956521739130435,0.4000000000000001,0.6434782608695653,0.010707561698081635,0.0,0.03198430346631782,0.014082242583757473,0.7391304347826086,0.8260869565217391,0.9130434782608695
simple3_available,semantic_tags_fixed_vocab_shuffled,4,23,0.6521739130434783,0.4215686274509804,0.629156010230179,0.03255850341016863,0.0,0.1146007884977524,0.04702950597097414,0.6521739130434783,0.8260869565217391,0.8695652173913043
simple3_available,semantic_tags_fixed_vocab_shuffled,5,23,0.6086956521739131,0.3636363636363636,0.5691699604743083,0.01679163067079662,0.0,0.0732306956068797,0.02499613649576466,0.6521739130434783,0.782608695652174,0.8260869565217391
simple3_available,context_full_shuffled,1,24,0.625,0.3688311688311689,0.5703463203463203,0.023335045951651052,0.0,0.06661393061412299,0.03142446732261154,0.6666666666666666,0.75,0.875
simple3_available,context_full_shuffled,2,23,0.6956521739130435,0.4000000000000001,0.6434782608695653,0.02487082472085394,0.0,0.03493874546506107,0.02584319388619132,0.6956521739130435,0.8260869565217391,0.9130434782608695
simple3_available,context_full_shuffled,3,23,0.6956521739130435,0.4000000000000001,0.6434782608695653,0.010707561698081635,0.0,0.03198430346631782,0.014082242583757473,0.7391304347826086,0.8260869565217391,0.9130434782608695
simple3_available,context_full_shuffled,4,23,0.7391304347826086,0.49673202614379086,0.7109974424552429,0.030365743903643033,0.0,0.10602601286581792,0.04462480543843443,0.7391304347826086,0.8695652173913043,0.8695652173913043
simple3_available,context_full_shuffled,5,23,0.6521739130434783,0.4166666666666667,0.6195652173913043,0.013738208360182847,0.0,0.06478495297805636,0.021589154093471775,0.6956521739130435,0.8260869565217391,0.8695652173913043
simple3_same107,stats_only,1,22,0.6363636363636364,0.3289760348583878,0.5573380867498514,0.021904579134249574,0.0,0.034407290174508234,0.02928862703433891,0.6818181818181818,0.7727272727272727,0.9090909090909091
simple3_same107,stats_only,2,22,0.7272727272727273,0.47179487179487184,0.704895104895105,0.02596965661270494,0.0,0.02786257524592576,0.02740390334857257,0.7272727272727273,0.8636363636363636,0.9090909090909091
simple3_same107,stats_only,3,21,0.5714285714285714,0.3106332138590203,0.5028161802355351,0.017845994193808806,0.0,0.03246753246753242,0.030043460383013088,0.6190476190476191,0.7619047619047619,0.9047619047619048
simple3_same107,stats_only,4,21,0.7142857142857143,0.4375,0.6458333333333334,0.027054363396561792,0.0,0.07022871314411683,0.0330344167094411,0.7619047619047619,0.8571428571428571,0.8571428571428571
simple3_same107,stats_only,5,21,0.7142857142857143,0.4375,0.6458333333333334,0.01097975717899952,0.0,0.038461538461538214,0.013709137954421918,0.7142857142857143,0.8571428571428571,0.9047619047619048
simple3_same107,domain_label_score,1,22,0.6363636363636364,0.3289760348583878,0.5573380867498514,0.021904579134249574,0.0,0.034407290174508234,0.02928862703433891,0.6818181818181818,0.7727272727272727,0.9090909090909091
simple3_same107,domain_label_score,2,22,0.7727272727272727,0.5017921146953405,0.7458455522971651,0.021695590698559256,0.0,0.007651383219954655,0.021839306827093286,0.7727272727272727,0.9090909090909091,0.9545454545454546
simple3_same107,domain_label_score,3,21,0.6666666666666666,0.4062126642771804,0.6062467997951868,0.004562203689380497,0.0,0.020847573479152448,0.00522661183085089,0.7142857142857143,0.8571428571428571,1.0
simple3_same107,domain_label_score,4,21,0.7619047619047619,0.5017921146953405,0.7096774193548387,0.023710138961127655,0.0,0.003028846153846354,0.029302959792644127,0.8095238095238095,0.9047619047619048,0.9047619047619048
simple3_same107,domain_label_score,5,21,0.7142857142857143,0.4375,0.6458333333333334,0.01097975717899952,0.0,0.038461538461538214,0.013709137954421918,0.7142857142857143,0.8571428571428571,0.9047619047619048
simple3_same107,semantic_tags_fixed_vocab,1,22,0.6363636363636364,0.3289760348583878,0.5573380867498514,0.021904579134249574,0.0,0.034407290174508234,0.02928862703433891,0.6818181818181818,0.7727272727272727,0.9090909090909091
simple3_same107,semantic_tags_fixed_vocab,2,22,0.6818181818181818,0.395959595959596,0.6286501377410468,0.024979980676762513,0.0,0.008266991714265648,0.026381607107882475,0.7272727272727273,0.9090909090909091,0.9090909090909091
simple3_same107,semantic_tags_fixed_vocab,3,21,0.6190476190476191,0.3333333333333333,0.5357142857142857,0.014023218864681383,0.0,0.028000000000000025,0.02470958039732251,0.6666666666666666,0.8095238095238095,0.9523809523809523
simple3_same107,semantic_tags_fixed_vocab,4,21,0.6666666666666666,0.4062126642771804,0.6062467997951868,0.015684398737348434,0.0,0.06549546632124359,0.018142460193426253,0.7142857142857143,0.8095238095238095,0.8095238095238095
simple3_same107,semantic_tags_fixed_vocab,5,21,0.7142857142857143,0.4375,0.6458333333333334,0.01097975717899952,0.0,0.038461538461538214,0.013709137954421918,0.7142857142857143,0.8571428571428571,0.9047619047619048
simple3_same107,context_full,1,22,0.6363636363636364,0.3289760348583878,0.5573380867498514,0.02188316607819774,0.0,0.034407290174508234,0.029278341982533252,0.6818181818181818,0.7727272727272727,0.9090909090909091
simple3_same107,context_full,2,22,0.6818181818181818,0.395959595959596,0.6286501377410468,0.024979980676762513,0.0,0.008266991714265648,0.026381607107882475,0.7272727272727273,0.9090909090909091,0.9090909090909091
simple3_same107,context_full,3,21,0.6190476190476191,0.3333333333333333,0.5357142857142857,0.014023218864681383,0.0,0.028000000000000025,0.02470958039732251,0.6666666666666666,0.8095238095238095,0.9523809523809523
simple3_same107,context_full,4,21,0.7619047619047619,0.5017921146953405,0.7096774193548387,0.009221342572331273,0.0,0.003028846153846354,0.010467151249567333,0.8095238095238095,0.9047619047619048,0.9047619047619048
simple3_same107,context_full,5,21,0.7619047619047619,0.5017921146953405,0.7096774193548387,0.005636900036142372,0.0,0.004255319148936398,0.0060677518805415595,0.7619047619047619,0.9047619047619048,0.9523809523809523
simple3_same107,domain_label_score_shuffled,1,22,0.7272727272727273,0.45265151515151514,0.690599173553719,0.008359082578753833,0.0,0.02938457853972804,0.015684512110781017,0.7727272727272727,0.8181818181818182,0.9545454545454546
simple3_same107,domain_label_score_shuffled,2,22,0.7727272727272727,0.5017921146953405,0.7458455522971651,0.024603684455365874,0.0,0.007651383219954655,0.025989359867808717,0.7727272727272727,0.9090909090909091,0.9090909090909091
simple3_same107,domain_label_score_shuffled,3,21,0.5714285714285714,0.3106332138590203,0.5028161802355351,0.017845994193808806,0.0,0.03246753246753242,0.030043460383013088,0.6190476190476191,0.7619047619047619,0.9047619047619048
simple3_same107,domain_label_score_shuffled,4,21,0.7142857142857143,0.4375,0.6458333333333334,0.0235126822278089,0.0,0.05740000000000001,0.02892308436699742,0.7619047619047619,0.8571428571428571,0.8571428571428571
simple3_same107,domain_label_score_shuffled,5,21,0.7142857142857143,0.4375,0.6458333333333334,0.01097975717899952,0.0,0.038461538461538214,0.013709137954421918,0.7142857142857143,0.8571428571428571,0.9047619047619048
simple3_same107,semantic_tags_fixed_vocab_shuffled,1,22,0.5909090909090909,0.3164983164983165,0.5335169880624426,0.022110522058639108,0.0,0.034407290174508234,0.029498371146522054,0.6363636363636364,0.7727272727272727,0.9090909090909091
