target_scenario,datasets_used,n_classes,stats_f1_macro,context_f1_macro,context_f1_delta,stats_mean_regret,context_mean_regret,context_regret_reduction,stats_zero_regret_rate,context_zero_regret_rate,context_zero_regret_delta,shuffled_context_f1_macro,shuffled_context_f1_delta,shuffled_context_regret_reduction,domain_f1_delta,domain_regret_reduction,semantic_f1_delta,semantic_regret_reduction
simple3_available,116,3,0.39592760180995473,0.4628959276018099,0.06696832579185519,0.020954282460040764,0.012853791105018483,0.00810049135502228,0.6810344827586207,0.7413793103448276,0.06034482758620696,0.4150547308442045,0.01912712903424979,0.0003272575243240504,0.04447282988220408,0.006415092509373459,0.027949440354460398,0.0030827857615869717
simple3_same107,107,3,0.4018020429100317,0.4131585001150218,0.011356457204990122,0.02081042613635301,0.015303737565844685,0.005506688570508324,0.7009345794392523,0.7289719626168224,0.028037383177570097,0.45059774964838256,0.048795706738350875,0.006788284915498084,0.036754538561041994,0.004142222092040342,-0.021330662438651227,0.003185237479868132
heavy3_same107,107,3,0.47298847721643966,0.47044509117216654,-0.0025433860442731215,0.014281927491086045,0.010627514062239832,0.0036544134288462125,0.5700934579439252,0.5887850467289719,0.01869158878504673,0.42713566380798973,-0.04585281340844993,-0.006722280346935774,0.009418639476391322,0.0011971551351392731,-0.031189582849190323,-0.002567162277686859
all6_same107,107,6,0.30090515043345234,0.25919871794871796,-0.04170643248473438,0.0189680099463519,0.017364843408207167,0.0016031665381447333,0.4672897196261682,0.4485981308411215,-0.01869158878504673,0.36296411318150446,0.062058962748052116,-0.0018380490314783594,-0.02781568541165158,0.003173250063578055,-0.03826604073551909,-0.00025775489939628554
