config,seed,permutation_id,accuracy,f1_macro,top3_accuracy,mean_regret,median_regret,p90_regret,zero_regret_rate,within_1pp_rate,regret_coverage,accuracy_delta_vs_baseline,accuracy_effect_vs_baseline,f1_macro_delta_vs_baseline,f1_macro_effect_vs_baseline,top3_accuracy_delta_vs_baseline,top3_accuracy_effect_vs_baseline,mean_regret_delta_vs_baseline,mean_regret_effect_vs_baseline,zero_regret_rate_delta_vs_baseline,zero_regret_rate_effect_vs_baseline,within_1pp_rate_delta_vs_baseline,within_1pp_rate_effect_vs_baseline
baseline_stats,42,,0.3802559414990859,0.27736594674085124,0.7806215722120659,0.026608252971352966,0.003965671641791013,0.07805208005042538,0.41385767790262173,0.5805243445692884,0.9762340036563071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
real_domain_rank,42,,0.3802559414990859,0.2625588039465751,0.7751371115173674,0.02856042497007184,0.00423292273236292,0.08790304414003042,0.40892193308550184,0.5799256505576208,0.9835466179159049,0.0,0.0,-0.01480714279427614,-0.01480714279427614,-0.005484460694698434,-0.005484460694698434,0.001952171998718874,-0.001952171998718874,-0.0049357448171198914,-0.0049357448171198914,-0.0005986940116675665,-0.0005986940116675665
shuffled_domain_rank,42,0.0,0.3180987202925046,0.258671321081688,0.7787934186471663,0.03288445802332476,0.009395293031372876,0.08843333333333318,0.3550185873605948,0.5074349442379182,0.9835466179159049,-0.06215722120658135,-0.06215722120658135,-0.018694625659163244,-0.018694625659163244,-0.001828153564899515,-0.001828153564899515,0.006276205051971791,-0.006276205051971791,-0.05883909054202696,-0.05883909054202696,-0.07308940033137012,-0.07308940033137012
