seed,config,n_observations,n_unique_datasets,regret_coverage,hit_best_rate,mean_regret,median_regret,p90_regret,zero_regret_rate,within_1pp_rate,chosen_accuracy_mean,oracle_accuracy_mean,domain
42,baseline_stats,547.0,547.0,0.9762340036563071,0.3802559414990859,0.026608252971352966,0.003965671641791013,0.07805208005042538,0.41385767790262173,0.5805243445692884,0.7954602358367203,0.8220684888080733,ALL
42,real_domain_rank,547.0,547.0,0.9835466179159049,0.3802559414990859,0.02856042497007184,0.00423292273236292,0.08790304414003042,0.40892193308550184,0.5799256505576208,0.7923035948969406,0.8208640198670124,ALL
42,baseline_stats,143.0,143.0,0.972027972027972,0.4195804195804196,0.022536213299505656,0.0008273018154443257,0.059298881586532896,0.460431654676259,0.6546762589928058,0.7953465606835327,0.8178827739830384,biology
42,baseline_stats,40.0,40.0,0.975,0.35,0.030281526150470545,0.0044663898552349535,0.07599999999999996,0.358974358974359,0.5897435897435898,0.8047747902886022,0.8350563164390729,education
42,baseline_stats,60.0,60.0,0.9833333333333333,0.5833333333333334,0.021147827860584414,0.0,0.05139933996023863,0.6101694915254238,0.7457627118644068,0.7139072704347035,0.735055098295288,finance
42,baseline_stats,48.0,48.0,0.9375,0.25,0.032842661296376134,0.016688052466495518,0.09074545188648671,0.28888888888888886,0.4,0.7932739463985041,0.8261166076948802,health
42,baseline_stats,35.0,35.0,0.9714285714285714,0.2857142857142857,0.027772328089812132,0.006318995396778548,0.09946470468372492,0.3235294117647059,0.5294117647058824,0.841281488192397,0.8690538162822092,image
42,baseline_stats,164.0,164.0,0.9939024390243902,0.3780487804878049,0.03012279951804504,0.004477611940298387,0.08849430894308938,0.4110429447852761,0.5460122699386503,0.8211340567276091,0.8512568562456541,other
42,baseline_stats,16.0,16.0,0.9375,0.375,0.02020755893585302,0.007429366235639834,0.056262150649332154,0.4,0.6,0.8436385576312593,0.8638461165671123,sensor_signal
42,baseline_stats,26.0,26.0,1.0,0.2692307692307692,0.0215623276320122,0.011223957479473634,0.057401139520329825,0.2692307692307692,0.46153846153846156,0.7445521568483872,0.7661144844803991,social
42,baseline_stats,15.0,15.0,0.9333333333333333,0.13333333333333333,0.03226020979474084,0.01662252662801017,0.11293906616327337,0.21428571428571427,0.42857142857142855,0.7540831678066542,0.786343377601395,text
42,real_domain_rank,143.0,143.0,0.9790209790209791,0.43356643356643354,0.026381149016442566,0.001969512195121925,0.06756696644759602,0.45714285714285713,0.6071428571428571,0.7866520481751101,0.8130331971915528,biology
42,real_domain_rank,40.0,40.0,1.0,0.25,0.032007259654163345,0.005294419417413321,0.08176922221942776,0.275,0.55,0.8071726488739325,0.839179908528096,education
42,real_domain_rank,60.0,60.0,1.0,0.65,0.008553527678363305,0.0,0.01731334944936885,0.6666666666666666,0.8333333333333334,0.7256501687988206,0.734203696477184,finance
42,real_domain_rank,48.0,48.0,0.9791666666666666,0.2708333333333333,0.03579231028320902,0.011111111111111183,0.12321428571428583,0.2978723404255319,0.44680851063829785,0.7776643848347183,0.8134566951179272,health
42,real_domain_rank,35.0,35.0,0.9428571428571428,0.37142857142857144,0.03608372304142927,0.0018292682926828174,0.09608333333333337,0.3939393939393939,0.6060606060606061,0.8492986996076738,0.8853824226491032,image
42,real_domain_rank,164.0,164.0,0.9878048780487805,0.36585365853658536,0.03231330453043411,0.00775567260396981,0.08850189701897025,0.4012345679012346,0.5432098765432098,0.8179699727002162,0.8502832772306504,other
42,real_domain_rank,16.0,16.0,1.0,0.1875,0.0370829883174332,0.017668211461270344,0.10670924591491898,0.25,0.4375,0.8343200053322943,0.8714029936497274,sensor_signal
42,real_domain_rank,26.0,26.0,0.9615384615384616,0.19230769230769232,0.028151800344755857,0.011409032306283762,0.07574255337985206,0.2,0.4,0.7337636007082555,0.7619154010530113,social
42,real_domain_rank,15.0,15.0,1.0,0.2,0.03158440836148095,0.003564384333614834,0.1135968917485086,0.26666666666666666,0.6,0.7680468248272622,0.7996312331887431,text
