cv,f1_baseline,f1_domain,delta,p
random,0.36540137906562054,0.3567385869662368,-0.008662792099383754,0.1434987029161036
grouped,0.2677073684516585,0.2847544780396559,0.017047109587997433,0.17332837821063166
