cv,f1_baseline,f1_domain,delta_f1,p_value
random,0.38772150967018476,0.39132108006868416,0.0035995703984993965,0.5169397860059564
grouped,0.29935199573375915,0.2980347126911481,-0.0013172830426110282,0.8754925897809152
