target,strategy,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,n_splits
6_classes,baseline_stat_only,0.3355072463768116,0.08041846028408743,0.18848428260192965,0.06273961026471146,0.2901114358786993,5
6_classes,stat_plus_modality,0.34456521739130436,0.05949535731914786,0.18628857497278548,0.047293863195837685,0.29130140899019613,5
6_classes,stat_plus_interaction,0.34420289855072467,0.0686687405245341,0.1878883706592685,0.04333519869256471,0.2967748140792965,5
6_classes,stat_plus_modality_interaction,0.3355072463768116,0.1048999082852033,0.18289571052728945,0.06727769319885732,0.2859773699476217,5
6_classes,stat_plus_modality_interaction_clusters,0.3355072463768116,0.10844415348713297,0.17959624081915104,0.06683844536154983,0.28076289222809614,5
grouped_3way,baseline_stat_only,0.6373188405797101,0.07297284945090077,0.5200143060501117,0.02313199160340683,0.6030489446429622,5
grouped_3way,stat_plus_modality,0.6119565217391304,0.09143365584701346,0.4975709852964755,0.0471789840030066,0.5805959567255389,5
grouped_3way,stat_plus_interaction,0.6376811594202898,0.06010562711109483,0.5320182695414893,0.035043606095259,0.6079284379042085,5
grouped_3way,stat_plus_modality_interaction,0.6463768115942028,0.07536231884057973,0.5499467788658797,0.04525242331167554,0.6173350257447829,5
grouped_3way,stat_plus_modality_interaction_clusters,0.6289855072463768,0.06647736197785341,0.5230794507819231,0.02739578031181925,0.595225193767208,5
ovr_DecisionTree,f1_base_vs_interaction,,,0.18181818181818182,,0.17391304347826086,5
ovr_KNN,f1_base_vs_interaction,,,0.0,,0.0,5
ovr_LogisticRegression,f1_base_vs_interaction,,,0.5217391304347826,,0.5074626865671642,5
ovr_MLP,f1_base_vs_interaction,,,0.08,,0.0,5
ovr_Perceptron,f1_base_vs_interaction,,,0.0,,0.0,5
ovr_SVM,f1_base_vs_interaction,,,0.2608695652173913,,0.25,5
