cv,arm,f1,delta,p,baseline
random,+dominio,0.3905302676648145,0.0028087579946297625,0.7650676879620677,0.38772150967018476
random,+texto_limpo,0.3601368230517319,-0.02758468661845287,0.08294669260306406,0.38772150967018476
random,+texto_cru(vazavel),0.3584510742986591,-0.029270435371525683,0.003648421019696605,0.38772150967018476
random,+dominio+texto,0.3499799464332704,-0.037741563236914355,0.06505379694390306,0.38772150967018476
grouped,+dominio,0.30572096376281704,0.006368968029057898,0.2586904569364472,0.29935199573375915
grouped,+texto_limpo,0.28662572117901525,-0.0127262745547439,0.2887453747286392,0.29935199573375915
grouped,+texto_cru(vazavel),0.2786099366722475,-0.020742059061511664,0.056161938916983414,0.29935199573375915
grouped,+dominio+texto,0.27242563719868707,-0.02692635853507208,0.18475590037660897,0.29935199573375915
regret,meta_vs_sba,0.022604498042542345,0.03380741303459263,,0.0
