config,seed,permutation_id,fold,n_test,accuracy,f1_macro,top3_accuracy,mean_regret,zero_regret_rate,within_1pp_rate,regret_coverage
baseline_stats,42,,1,115,0.4,0.2578423299353532,0.7391304347826086,0.02451353850860565,0.41228070175438597,0.6578947368421053,0.991304347826087
baseline_stats,42,,2,108,0.4166666666666667,0.2810014755503477,0.8148148148148148,0.025580623760502966,0.42592592592592593,0.5370370370370371,1.0
baseline_stats,42,,3,108,0.35185185185185186,0.2315051020408163,0.8148148148148148,0.028444374138711783,0.41346153846153844,0.5576923076923077,0.9629629629629629
baseline_stats,42,,4,108,0.37037037037037035,0.3409832422990318,0.8240740740740741,0.026077629104688776,0.41904761904761906,0.5619047619047619,0.9722222222222222
baseline_stats,42,,5,108,0.3611111111111111,0.2212869404690778,0.7129629629629629,0.02869116858416282,0.39805825242718446,0.5825242718446602,0.9537037037037037
real_domain_rank,42,,1,115,0.391304347826087,0.25875747735938187,0.6956521739130435,0.0298182482099602,0.42105263157894735,0.6491228070175439,0.991304347826087
real_domain_rank,42,,2,108,0.42592592592592593,0.27231204292760625,0.8611111111111112,0.030275004236042923,0.4351851851851852,0.5462962962962963,1.0
real_domain_rank,42,,3,108,0.3333333333333333,0.21179529787124726,0.8148148148148148,0.03598223655829264,0.3611111111111111,0.5185185185185185,1.0
real_domain_rank,42,,4,108,0.4166666666666667,0.3374599069335911,0.7685185185185185,0.024466659089287184,0.46153846153846156,0.5865384615384616,0.9629629629629629
real_domain_rank,42,,5,108,0.3333333333333333,0.18943798449612403,0.7407407407407407,0.021787632566241128,0.36538461538461536,0.5961538461538461,0.9629629629629629
shuffled_domain_rank,42,0.0,1,115,0.20869565217391303,0.17727696588890066,0.7478260869565218,0.02940169833152864,0.24561403508771928,0.41228070175438597,0.991304347826087
shuffled_domain_rank,42,0.0,2,108,0.32407407407407407,0.26408454436565226,0.8425925925925926,0.04232735801026942,0.35185185185185186,0.48148148148148145,1.0
shuffled_domain_rank,42,0.0,3,108,0.3148148148148148,0.20939007861209,0.7870370370370371,0.03133853813891966,0.3584905660377358,0.5094339622641509,0.9814814814814815
shuffled_domain_rank,42,0.0,4,108,0.48148148148148145,0.4041848940533151,0.8240740740740741,0.029946949605182235,0.5333333333333333,0.6285714285714286,0.9722222222222222
shuffled_domain_rank,42,0.0,5,108,0.26851851851851855,0.15868286319105993,0.6944444444444444,0.03145119419405464,0.29523809523809524,0.5142857142857142,0.9722222222222222
