seed,f1_base,f1_te,top3_base,top3_te
42,0.28340447172191074,0.29354836604961926,0.8007312614259597,0.8226691042047533
7,0.3030669907089121,0.3311908442008279,0.8007312614259597,0.8135283363802559
123,0.31158452477045456,0.32422201318547594,0.8007312614259597,0.8098720292504571
2024,0.30791205781087705,0.29646473637870324,0.8098720292504571,0.8190127970749543
11,0.2888264631883345,0.30383533407367913,0.7787934186471663,0.7989031078610603
99,0.32024661183277203,0.3339808742682336,0.793418647166362,0.8062157221206582
7777,0.3192960799702671,0.3268604437742265,0.8171846435100548,0.8190127970749543
2025,0.30719881617390354,0.30589056119934166,0.8080438756855576,0.8117001828153565
1,0.29336995101255786,0.28852534784238093,0.8190127970749543,0.8135283363802559
13,0.30118453628842123,0.2945909592386119,0.7861060329067642,0.7824497257769653
500,0.30341236967803054,0.30964142462904753,0.7915904936014625,0.7915904936014625
808,0.319683845401453,0.32786133410070256,0.8025594149908593,0.8025594149908593
314,0.28914214206849853,0.326471584143066,0.8007312614259597,0.8080438756855576
271,0.30494760194280596,0.307073645633387,0.793418647166362,0.793418647166362
1000,0.32266077036780877,0.3163319784382843,0.7989031078610603,0.7897623400365631
3,0.2951458268718188,0.3030063153784467,0.7970749542961609,0.7861060329067642
17,0.31419026696219277,0.3328332956399642,0.8208409506398537,0.8226691042047533
55,0.3142440447961213,0.3068075300919594,0.8153564899451554,0.8153564899451554
128,0.2933803720240048,0.32235016743242784,0.7989031078610603,0.8025594149908593
256,0.30929899623782875,0.31316971906770197,0.8190127970749543,0.8043875685557587
640,0.2941048895737328,0.2969924723676395,0.8135283363802559,0.8190127970749543
911,0.3182407704756572,0.30899354730423745,0.8062157221206582,0.8117001828153565
1234,0.29472743944282087,0.3165331604849826,0.7897623400365631,0.7952468007312614
2222,0.28788676032481186,0.3074980214270696,0.8007312614259597,0.8135283363802559
4096,0.30290580229676134,0.32870013932313263,0.7970749542961609,0.7952468007312614
5,0.31210306138955135,0.31529870904498675,0.8244972577696527,0.8171846435100548
88,0.29624032280758894,0.312280802617828,0.8153564899451554,0.8098720292504571
777,0.31995934599468373,0.33260448660422337,0.8043875685557587,0.8153564899451554
9001,0.29500718832971357,0.2834701083245887,0.8062157221206582,0.7952468007312614
12345,0.3183323429035876,0.3275027409354689,0.7879341864716636,0.793418647166362
