config,seed,permutation_id,accuracy,f1_macro,top3_accuracy,mean_regret,median_regret,p90_regret,zero_regret_rate,within_1pp_rate,regret_coverage,accuracy_delta_vs_baseline,accuracy_effect_vs_baseline,f1_macro_delta_vs_baseline,f1_macro_effect_vs_baseline,top3_accuracy_delta_vs_baseline,top3_accuracy_effect_vs_baseline,mean_regret_delta_vs_baseline,mean_regret_effect_vs_baseline,zero_regret_rate_delta_vs_baseline,zero_regret_rate_effect_vs_baseline,within_1pp_rate_delta_vs_baseline,within_1pp_rate_effect_vs_baseline
baseline_stats,42,,0.4040219378427788,0.2820960903639465,0.8226691042047533,0.02632586289575523,0.002714932126696823,0.08006379585326967,0.43622920517560076,0.609981515711645,0.9890310786106032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
real_domain_rank,42,,0.38939670932358317,0.27486285380652914,0.8080438756855576,0.02888416820206493,0.0028169014084505895,0.08587457322551661,0.430939226519337,0.6003683241252302,0.9926873857404022,-0.014625228519195621,-0.014625228519195621,-0.007233236557417366,-0.007233236557417366,-0.014625228519195677,-0.014625228519195677,0.0025583053063097,-0.0025583053063097,-0.0052899786562637385,-0.0052899786562637385,-0.009613191586414827,-0.009613191586414827
shuffled_domain_rank,42,0.0,0.36745886654478976,0.2648542835249446,0.8080438756855576,0.02847293809256095,0.004296198909486626,0.08581185983827491,0.4025735294117647,0.5827205882352942,0.9945155393053017,-0.036563071297989025,-0.036563071297989025,-0.017241806839001894,-0.017241806839001894,-0.014625228519195677,-0.014625228519195677,0.002147075196805723,-0.002147075196805723,-0.033655675763836046,-0.033655675763836046,-0.027260927476350894,-0.027260927476350894
shuffled_domain_rank,42,1.0,0.39853747714808047,0.2766284118083872,0.8117001828153565,0.025460982263465937,0.002469512195121981,0.07712500000000017,0.43357933579335795,0.6199261992619927,0.9908592321755028,-0.005484460694698323,-0.005484460694698323,-0.005467678555559297,-0.005467678555559297,-0.010968921389396757,-0.010968921389396757,-0.0008648806322892923,0.0008648806322892923,-0.00264986938224282,-0.00264986938224282,0.00994468355034761,0.00994468355034761
shuffled_domain_rank,42,2.0,0.38939670932358317,0.2710990365084233,0.8263254113345521,0.028622501376135846,0.003028846153846354,0.08599999999999997,0.4214417744916821,0.5933456561922366,0.9890310786106032,-0.014625228519195621,-0.014625228519195621,-0.010997053855523187,-0.010997053855523187,0.003656307129798808,0.003656307129798808,0.0022966384803806174,-0.0022966384803806174,-0.01478743068391869,-0.01478743068391869,-0.01663585951940849,-0.01663585951940849
shuffled_domain_rank,42,3.0,0.3930530164533821,0.27576101662321106,0.8226691042047533,0.027075477810514333,0.00262841224917143,0.08002126378181307,0.4317343173431734,0.6180811808118081,0.9908592321755028,-0.010968921389396702,-0.010968921389396702,-0.006335073740735442,-0.006335073740735442,0.0,0.0,0.0007496149147591044,-0.0007496149147591044,-0.004494887832427352,-0.004494887832427352,0.008099665100163023,0.008099665100163023
shuffled_domain_rank,42,4.0,0.36745886654478976,0.26201946970889206,0.8354661791590493,0.028764639613243024,0.004272385936966605,0.08531870786550287,0.4040590405904059,0.5922509225092251,0.9908592321755028,-0.036563071297989025,-0.036563071297989025,-0.020076620655054445,-0.020076620655054445,0.01279707495429605,0.01279707495429605,0.002438776717487795,-0.002438776717487795,-0.03217016458519484,-0.03217016458519484,-0.017730593202419986,-0.017730593202419986
shuffled_domain_rank,42,5.0,0.40036563071297987,0.2831488956171165,0.8153564899451554,0.026781131465523994,0.0024999999999999467,0.08041275917065395,0.43646408839779005,0.6132596685082873,0.9926873857404022,-0.003656307129798919,-0.003656307129798919,0.001052805253169975,0.001052805253169975,-0.007312614259597838,-0.007312614259597838,0.00045526856976876515,-0.00045526856976876515,0.00023488322218928603,0.00023488322218928603,0.003278152796642231,0.003278152796642231
shuffled_domain_rank,42,6.0,0.40950639853747717,0.2881642975185004,0.8190127970749543,0.02665091131538612,0.002216449619352856,0.07956585094823745,0.44014732965009207,0.6187845303867403,0.9926873857404022,0.005484460694698379,0.005484460694698379,0.006068207154553917,0.006068207154553917,-0.003656307129798919,-0.003656307129798919,0.00032504841963089046,-0.00032504841963089046,0.003918124474491302,0.003918124474491302,0.008803014675095255,0.008803014675095255
shuffled_domain_rank,42,7.0,0.3875685557586837,0.27793054964203284,0.8427787934186471,0.028233861123499307,0.003149488582911364,0.08835189701897032,0.42435424354243545,0.6033210332103321,0.9908592321755028,-0.01645338208409508,-0.01645338208409508,-0.004165540721913663,-0.004165540721913663,0.02010968921389389,0.02010968921389389,0.001907998227744078,-0.001907998227744078,-0.011874961633165315,-0.011874961633165315,-0.006660482501312903,-0.006660482501312903
