config,seed,f1_baseline,f1_semantic,mean_delta,median_delta,p_ttest,p_wilcoxon,folds_won
tags_fixed_vocab+label_score(top1_original),42,0.4136351654948355,0.42269645227523306,0.009061286780397616,0.0,0.15677467966279005,0.07134085521775929,49/100
tags_fixed_vocab+label_score(top1_original),7,0.4077377528819981,0.4284589649632425,0.020721212081244465,0.020117845117845118,0.0004849469179892363,0.000488524384928443,54/100
tags_fixed_vocab+label_score(top1_original),123,0.40639631893883094,0.4231041953337262,0.016707876394895342,0.021575266131717702,0.008551750648313011,0.00765909377812744,55/100
clusters+domain_interaction(top2_original),42,0.4136351654948355,0.4196409846746035,0.006005819179768037,0.0098124098124098,0.35385648799318375,0.2624613009423832,51/100
clusters+domain_interaction(top2_original),7,0.4077377528819981,0.4206491370025608,0.012911384120562763,0.022357357258472932,0.04377330264506773,0.0657727238141229,54/100
clusters+domain_interaction(top2_original),123,0.40639631893883094,0.42860963248694195,0.022213313548111072,0.023823670882494402,1.950028128654589e-05,4.93263634375685e-05,55/100
