seed,f1_baseline,f1_semantic,mean_delta,median_delta,p_ttest,p_wilcoxon,folds_won
42,0.6074606113512941,0.633477008022889,0.026016396671594926,0.008507564573741078,0.0038169071923891346,0.0018048369783405878,51/100
7,0.6125186471431104,0.6176018342308364,0.005083187087726002,0.0,0.5416029208571892,0.490838195729815,48/100
123,0.6166384624397558,0.6293054411010004,0.012666978661244504,0.0,0.12385964481930944,0.11841715693586462,42/100
