grupo,base,dom,delta,p,pos
Acuracia (TODOS),0.40603290676416826,0.41791590493601466,0.011882998171846404,5.168785480412341e-06,24/30
Acuracia (DOMINIO REAL),0.42741514360313304,0.4466492602262837,0.019234116623150666,1.1806531851051707e-06,27/30
Acuracia (FINANCE),0.5549999999999999,0.6266666666666668,0.07166666666666688,1.5526507713981287e-05,23/30
F1 (TODOS),0.2788557261144519,0.28425586367054295,0.005400137556091034,0.0015787544296041887,23/30
F1 (DOMINIO REAL),0.2655683349124575,0.271286500403763,0.0057181654913054936,0.018024070526026236,21/30
