cv,f1_base,f1_te,f1_delta,f1_p,top3_base,top3_te,top3_delta
random,0.38772150967018476,0.386442243597938,-0.0012792660722467653,0.23038988144875547,0.8464351005484461,0.8488726386349786,0.0024375380865325758
grouped,0.29935199573375915,0.3163204078119744,0.016968412078215256,0.09453211739663478,0.8007312614259597,0.8153564899451554,0.014625228519195677
