metric,direction,baseline_mean,real_domain_mean,real_delta_vs_baseline,real_effect_vs_baseline,real_ttest_p,real_wilcoxon_p,real_positive_seeds,n_seeds,shuffle_metric_mean,shuffle_effect_mean,shuffle_effect_ci95_low,shuffle_effect_ci95_high,empirical_p_real_vs_shuffle,real_effect_above_shuffle_ci95
accuracy,higher,0.40603290676416826,0.41791590493601466,0.011882998171846428,0.011882998171846428,5.168785480412342e-06,6.48930217472407e-05,24,30,0.4086349786715418,0.0026020719073735505,-0.000565204143814748,0.005761730652041437,0.03225806451612903,True
f1_macro,higher,0.2788557261144519,0.28425586367054295,0.005400137556091112,0.005400137556091112,0.0015787544296041894,0.0015832837671041489,23,30,0.27847400540944167,-0.00038172070501022175,-0.0025371668895514234,0.001441114495655619,0.03225806451612903,True
top3_accuracy,higher,0.8115173674588668,0.8118829981718464,0.0003656307129798919,0.0003656307129798919,0.8536608649672217,0.8504697716810816,14,30,0.8119479991874872,0.00043063172862076355,-0.0024497257769652597,0.002876294942108468,0.5161290322580645,False
mean_regret,lower,0.025452512170480304,0.024615983163309,-0.000836529007171313,0.000836529007171313,0.0013741400248915437,0.0008718203753232956,23,30,0.025397857613750477,5.465455672983052e-05,-0.00037331885925513615,0.0004531800552489283,0.03225806451612903,True
zero_regret_rate,higher,0.4423027524481465,0.4553277894252368,0.013025036977090456,0.013025036977090456,7.508522260631941e-07,1.991167664527893e-06,25,30,0.4437463812776211,0.00144362882947479,-0.0012453357064184463,0.0048007737886139445,0.03225806451612903,True
within_1pp_rate,higher,0.6204523195422667,0.6286883580707443,0.008236038528477534,0.008236038528477534,0.0011097883045883418,0.0011314544826745987,21,30,0.6217271107216259,0.0012747911793592527,-0.0030683380228972053,0.00456085267720378,0.03225806451612903,True
