permutation_id,accuracy,accuracy_effect_vs_baseline,f1_macro,f1_macro_effect_vs_baseline,top3_accuracy,top3_accuracy_effect_vs_baseline,mean_regret,mean_regret_effect_vs_baseline,zero_regret_rate,zero_regret_rate_effect_vs_baseline,within_1pp_rate,within_1pp_rate_effect_vs_baseline
0,0.40719073735527117,0.00115783059110298,0.27723687699410066,-0.0016188491203512235,0.8142595978062158,0.002742230347349173,0.025531260420651625,-7.874825017131678e-05,0.44200544615380716,-0.00029730629433921685,0.6196318430832429,-0.0008204764590237297
1,0.40542352224253503,-0.0006093845216331476,0.27617546153601347,-0.0026802645784383496,0.8132236441194394,0.001706276660572829,0.025935442368466382,-0.0004829301979860689,0.44100618570542527,-0.001296566742721165,0.6169274387097201,-0.003524880832546562
2,0.40926264472882395,0.0032297379646556933,0.2784246927228781,-0.00043103339157377074,0.81084704448507,-0.0006703229737964593,0.02536618094199142,8.63312284888945e-05,0.4439594921367409,0.0016567396885945088,0.6217274502007656,0.0012751306584987613
3,0.40548446069469846,-0.0005484460694698378,0.2763728376586162,-0.002482888455835693,0.8124314442413162,0.0009140767824497279,0.025669237953032633,-0.00021672578255232423,0.4411662435388435,-0.0011365089093028746,0.6189153951551757,-0.0015369243870910691
4,0.4094454600853139,0.003412553321145643,0.27927725721917973,0.00042153110472788836,0.8126751980499696,0.0011578305911029928,0.025533188156323963,-8.067598584365666e-05,0.4444248836280966,0.002122131179950215,0.6208837374899187,0.0004314179476518613
5,0.4099939061547836,0.003960999390615474,0.2802367378525961,0.0013810117381442629,0.8107251675807436,-0.0007921998781230936,0.025299425069019176,0.0001530871014611342,0.4450702630636579,0.0027675106155114646,0.6222982758833886,0.0018459563411220533
6,0.40840950639853746,0.0023765996343692902,0.2778239019192846,-0.0010318241951672977,0.8124923826934798,0.0009750152346130488,0.025359219195719016,9.3292974761293e-05,0.44364108859604656,0.0013383361479001505,0.6223686509144657,0.0019163313721988872
7,0.4107861060329067,0.004753199268738573,0.2794783645362483,0.0006226384217964324,0.8108470444850701,-0.0006703229737964593,0.025402126036152682,5.038613432762247e-05,0.4449066285634487,0.0026038761153022636,0.6211112799194906,0.0006589603772237791
8,0.4118829981718464,0.005850091407678243,0.2804324883275944,0.001576762213142561,0.8116392443631933,0.00012187690432663434,0.025283593401456896,0.00016891876902341702,0.4474270003554016,0.005124247907255269,0.6266606571990592,0.006208337656792388
9,0.41035953686776355,0.004326630103595369,0.2791366731605891,0.00028094704613724765,0.8147471054235224,0.003229737964655703,0.02528387066918364,0.0001686415012966665,0.4456844531513155,0.003381700703169079,0.6230007178141175,0.002548398271850727
10,0.40554539914686166,-0.00048750761730652256,0.27653295597696625,-0.0023227701374856054,0.8117611212675199,0.0002437538086532724,0.025609565186335493,-0.00015705301585518225,0.44127706361928626,-0.0010256888288601256,0.6175571529299261,-0.002895166612340553
11,0.4102985984156003,0.004265691651432048,0.27952605027105704,0.0006703241566051565,0.8127361365021327,0.001218769043266299,0.025557809382803966,-0.00010529721232365706,0.4440394655783891,0.0017367131302425897,0.622002754075645,0.0015504345333783088
12,0.40907982937233395,0.0030469226081657474,0.27894534728503095,8.962117057914701e-05,0.8095063985374771,-0.0020109689213893963,0.025073952384626237,0.00037855978585407056,0.44403004406301316,0.001727291614866694,0.6243882641237644,0.00393594458149776
13,0.407921998781231,0.0018890920170627694,0.27678327515643836,-0.0020724509580134793,0.8132236441194395,0.0017062766605728179,0.02499103306316488,0.00046147910731542764,0.44359973206100745,0.0012969796128610952,0.6232392788567277,0.002786959314461072
14,0.41005484460694686,0.004021937842778785,0.27973247620331876,0.0008767500888668863,0.8092017062766605,-0.00231566118220596,0.025322615065376374,0.00012989710510392927,0.44486337457236186,0.0025606221242154394,0.6227109264310279,0.002258606888761146
15,0.4117611212675198,0.005728214503351614,0.28024538802761245,0.0013896619131605725,0.8141377209018892,0.0026203534430225568,0.025435069510649205,1.7442659831102063e-05,0.4469808291572757,0.0046780767091293045,0.6240449150750712,0.003592595532804495
16,0.40804387568555767,0.0020109689213893924,0.2777384070882858,-0.0011173190261661193,0.810237659963437,-0.001279707495429605,0.025002521572834224,0.00044999059764608886,0.44470519346032794,0.0024024410121815296,0.6230177676604717,0.002565448118205068
17,0.4076782449725777,0.00164533820840951,0.2777710992144221,-0.0010846269000297716,0.8115783059110296,6.093845216332087e-05,0.025343571858531415,0.00010894031194889723,0.44229761811275253,-5.134335393882269e-06,0.6201035626377703,-0.0003487569044963168
18,0.40731261425959786,0.0012797074954296124,0.27841588632591446,-0.0004398397885374069,0.8128580134064596,0.0013406459475929443,0.025312898905474415,0.00013961326500589176,0.44272939325815736,0.0004266408100109013,0.6234248863082097,0.0029725667659429708
19,0.40834856794637403,0.0023156611822059653,0.27848976157164973,-0.00036596454280213666,0.8127970749542963,0.0012797074954296198,0.02544018345254843,1.2328717931875746e-05,0.4429241840103631,0.000621431562216701,0.6196154032070272,-0.0008369163352393682
20,0.40609384521633146,6.093845216330977e-05,0.2772459666101395,-0.0016097595043123145,0.8113954905545401,-0.00012187690432663804,0.025784254315044393,-0.0003317421445640927,0.4410982882234092,-0.001204464224737208,0.6203200370546986,-0.0001322824875680658
21,0.40962827544180375,0.0035953686776355872,0.2790614731177994,0.00020574700334747287,0.8113954905545399,-0.00012187690432663434,0.025551421272825035,-9.89091023447222e-05,0.4454739424315329,0.003171189983386589,0.6230192048681212,0.0025668853258544438
22,0.4088360755636807,0.00280316879951249,0.2791577184716866,0.0003019923572346872,0.8140767824497257,0.002559414990859232,0.02525129839477338,0.0002012137757069254,0.44299541890236643,0.0006926664542199793,0.620748107850648,0.00029578830838144685
23,0.40621572212065815,0.00018281535648994595,0.27647846967937895,-0.0023772564350728626,0.8134064594759292,0.0018890920170627657,0.025292687783662608,0.00015982438681770388,0.4410768492037738,-0.0012259032443725875,0.6187731094397532,-0.0016792101025136434
24,0.41139549055453994,0.005362583790371722,0.2801509669894528,0.0012952408750009211,0.8098110907982936,-0.001706276660572829,0.02500248003153246,0.00045003213894784233,0.4464508405387758,0.00414808809062935,0.6240379810665838,0.003585661524317126
25,0.4084095063985374,0.0023765996343692846,0.27853748434907627,-0.00031824176537559865,0.8087141986593539,-0.002803168799512505,0.025619518891535752,-0.00016700672105544808,0.443254443939687,0.0009516914915405461,0.621909272898948,0.0014569533566812232
26,0.4089579524680073,0.002925045703839126,0.27915779212554415,0.0003020660110922909,0.8096282754418039,-0.0018890920170627546,0.025691671865387834,-0.0002391596949075268,0.4438397618829907,0.0015370094348442535,0.6217698047305915,0.0013174851883248258
27,0.408714198659354,0.0026812918951858574,0.2792374092485294,0.0003816831340775734,0.8134673979280926,0.0019500304692260902,0.025168790080044308,0.0002837220904359944,0.44415744380738137,0.0018546913592350093,0.6225350688562953,0.002082749314028572
28,0.4075563680682511,0.0015234613040828718,0.27754569136664314,-0.0013100347478086675,0.8108470444850702,-0.0006703229737964519,0.025324248731559754,0.00012826343892055777,0.4429874588686087,0.0006847064204622037,0.623496066491022,0.0030437469487552106
29,0.40895795246800737,0.0029250457038391187,0.27887125127720236,1.5525162750544088e-05,0.8137720901889092,0.0022547227300426685,0.025496592451806733,-4.408028132642343e-05,0.4443184077443921,0.0020156552962456147,0.6215743107171314,0.0011219911748647671
