config,f1,f1_delta,top3,top3_delta
baseline (stats),0.29696313973204674,0.0,0.8121588835212025,0.0
+ dominio (rank),0.303832828204922,0.006869688472875279,0.8126231884057972,0.00046430488459470176
+ modalidade (rank),0.2967982025564627,-0.00016493717558402343,0.8105786366076219,-0.0015802469135806074
+ tamanho/escala (rank),0.29652996973054685,-0.00043317000149989404,0.817443370907139,0.005284487385936565
+ dom + mod (rank),0.3009556307524198,0.003992491020373079,0.8105131508319914,-0.001645732689211088
"+ dom + mod + escala (#3, rank)",0.2958928205724309,-0.0010703191596158623,0.8184219001610304,0.0062630166398279785
