cv,f1_baseline,f1_domain,delta_f1,p_value
random,0.38772150967018476,0.3944268295953585,0.006705319925173758,0.23878255128407175
grouped,0.29935199573375915,0.3055453507622777,0.006193355028518532,0.1639217698459317
