metric,direction,baseline_mean,real_domain_mean,real_delta_vs_baseline,real_effect_vs_baseline,real_ttest_p,real_wilcoxon_p,real_positive_seeds,n_seeds,shuffle_metric_mean,shuffle_effect_mean,shuffle_effect_ci95_low,shuffle_effect_ci95_high,empirical_p_real_vs_shuffle,real_effect_above_shuffle_ci95
accuracy,higher,0.3802559414990859,0.3802559414990859,0.0,0.0,,,0,1,0.3180987202925046,-0.06215722120658135,-0.06215722120658135,-0.06215722120658135,0.5,True
f1_macro,higher,0.27736594674085124,0.2625588039465751,-0.01480714279427614,-0.01480714279427614,,1.0,0,1,0.258671321081688,-0.018694625659163244,-0.018694625659163244,-0.018694625659163244,0.5,True
top3_accuracy,higher,0.7806215722120659,0.7751371115173674,-0.005484460694698434,-0.005484460694698434,,1.0,0,1,0.7787934186471663,-0.001828153564899515,-0.001828153564899515,-0.001828153564899515,1.0,False
mean_regret,lower,0.026608252971352966,0.02856042497007184,0.001952171998718874,-0.001952171998718874,,1.0,0,1,0.03288445802332476,-0.006276205051971791,-0.006276205051971791,-0.006276205051971791,0.5,True
zero_regret_rate,higher,0.41385767790262173,0.40892193308550184,-0.0049357448171198914,-0.0049357448171198914,,1.0,0,1,0.3550185873605948,-0.05883909054202696,-0.05883909054202696,-0.05883909054202696,0.5,True
within_1pp_rate,higher,0.5805243445692884,0.5799256505576208,-0.0005986940116675665,-0.0005986940116675665,,1.0,0,1,0.5074349442379182,-0.07308940033137012,-0.07308940033137012,-0.07308940033137012,0.5,True
