cv,config,top1,top3_overlap,spearman
random,baseline_stats,0.31782945736434115,0.6936548952052828,0.5109623155023653
random,+dominio,0.30921619293712316,0.694229112833764,0.5132057626053236
grouped,baseline_stats,0.2713178294573643,0.652885443583118,0.42591380994180267
grouped,+dominio,0.2661498708010336,0.6528854435831181,0.42524262877057173
